iso,name
ab,Abkasies
af,Afrikaans
ak,Akan
am,Amharies
ar,Arabies
as,Assamees
ay,Aymara
az,Azeri
ba,Baskir
be,Wit-Russies
bg,Bulgaars
bm,Bambara
bn,Bengaals
bo,Tibettaans
br,Bretons
bs,Bosnies
ca,Katalaans
co,Korsikaans
cs,Tsjeggies
cu,Kerkslawies
cy,Wallies
da,Deens
de,Duits
de_CH,"Switserse hoog-Duits"
dv,Divehi
dz,Dzongkha
ee,Ewe
el,Grieks
en,Engels
en_GB,"Engels (VK)"
en_US,"Engels (VSA)"
eo,Esperanto
es,Spaans
et,Estnies
eu,Baskies
fa,Persies
fi,Fins
fj,Fidjiaans
fo,Faroees
fr,Frans
fy,Wes-Fries
ga,Iers
gd,"Skotse Gallies"
gl,Galisies
gn,Guarani
gu,Goedjarati
gv,Manx
ha,Hausa
he,Hebreeus
hi,Hindi
hr,Kroaties
ht,Haïtiaans
hu,Hongaars
hy,Armeens
ia,Interlingua
id,Indonesies
ie,Interlingue
ig,Igbo
ii,"Sichuan Yi"
is,Yslands
it,Italiaans
iu,Innuïties
ja,Japannees
jv,Javaans
ka,Georgies
kg,Kongolees
ki,Kikuyu
kk,Kazaks
kl,Kalaallisut
km,Khmer
kn,Kannada
ko,Koreaans
ks,Kasjmirs
ku,Koerdies
kw,Kornies
ky,Kirgisies
la,Latyn
lb,Luxemburgs
lg,Ganda
li,Limburgs
ln,Lingaals
lo,Lao
lt,Litaus
lu,Luba-Katanga
lv,Letties
mg,Malgassies
mi,Maori
mk,Masedonies
ml,Malabaars
mn,Mongools
mr,Marathi
ms,Maleis
mt,Maltees
my,Birmaans
nb,"Noorse Bokmål"
nd,Noord-Ndebele
ne,Nepalees
nl,Nederlands
nl_BE,Vlaams
nn,"Noorweegse Nynorsk"
no,Noors
nr,Suid-Ndebele
ny,Nyanja
oc,Oksitaans
om,Oromo
or,Oriya
os,Osseties
pa,Pandjabi
pl,Pools
ps,Pushto
pt,Portugees
qu,Quechua
rm,Reto-Romaans
rn,Rundi
ro,Roemeens
ro_MD,Moldawies
ru,Russies
rw,Rwandees
sa,Sanskrit
sd,Sindhi
se,"Noordelike Sami"
sg,Sango
sh,Serwo-Kroaties
si,Sinhala
sk,Slowaaks
sl,Sloweens
sm,Samoaans
sn,Shona
so,Somalies
sq,Albanees
sr,Serwies
ss,Swazi
st,Suid-Sotho
su,Sundanees
sv,Sweeds
sw,Swahili
ta,Tamil
te,Telugu
tg,Tadzjieks
th,Thai
ti,Tigrinya
tk,Turkmeens
tn,Tswana
to,Tongaans
tr,Turks
ts,Tsonga
tt,Tataars
tw,Twi
ty,Tahities
ug,Uighur
uk,Oekraïens
ur,Oerdoe
uz,Oezbeeks
ve,Venda
vi,Viëtnamees
wo,Wolof
xh,Xhosa
yi,Jiddisj
yo,Yoruba
zh,Sjinees
zu,Zoeloe
