iso,name
1,Dünya
2,Afrika
3,"Şimali Amerika"
5,"Cənubi Amerika"
9,Okeaniya
11,"Qərbi Afrika"
13,"Mərkəzi Amerika"
14,"Şərqi Afrika"
15,"Şimali Afrika"
17,"Mərkəzi Afrika"
18,"Cənubi Afrika"
19,Amerikalar
21,"Şimal Amerikası"
29,Karib
30,"Şərqi Asiya"
34,"Cənubi Asiya"
35,"Cənub-Şərqi Asiya"
39,"Cənubi Avropa"
53,Avstralaziya
54,Melaneziya
57,"Mikroneziya Regionu"
61,Polineziya
142,Asiya
143,"Mərkəzi Asiya"
145,"Qərbi Asiya"
150,Avropa
151,"Şərqi Avropa"
154,"Şimali Avropa"
155,"Qərbi Avropa"
419,"Latın Amerikası"
