iso,name
ab,абхазская
af,афрыкаанс
am,амхарская
an,арагонская
ar,арабская
as,асамская
av,аварская
ay,аймара
az,азербайджанская
ba,башкірская
be,беларуская
bg,балгарская
bn,бенгальская
br,брэтонская
bs,баснійская
ca,каталонская
ce,чачэнская
cs,чэшская
cv,чувашская
cy,валійская
da,дацкая
de,нямецкая
de_AT,"нямецкая (аўстр.)"
de_CH,"нямецкая (швейц.)"
el,грэцкая
en,англійская
en_AU,"англійская (аўстрал.)"
en_CA,"англійская (канад.)"
en_US,"англійская (ЗША)"
eo,эсперанта
es,іспанская
et,эстонская
eu,баскская
fa,фарсі
fi,фінская
fo,фарэрская
fr,французская
fr_CA,"французская (канад.)"
fr_CH,"французская (швейц.)"
fy,фрызская
ga,ірландская
gd,"шатландская гэльская"
gl,галісійская
gn,гуарані
gu,гуяраці
he,іўрыт
hi,хіндзі
hr,харвацкая
hu,венгерская
hy,армянская
ia,інтэрлінгва
id,інданезійская
ie,інтэрлінгве
is,ісландская
it,італьянская
ja,японская
jv,яванская
ka,грузінская
kk,казахская
kn,каннада
ko,карэйская
ku,курдская
la,лацінская
ln,лінгала
lo,лаоская
lt,літоўская
lv,латышская
mg,мальгашская
mk,македонская
ml,малаяламская
mn,мангольская
mr,маратхі
ms,малайская
mt,мальтыйская
nb,"нарвэская букмал"
ne,непальская
nl,галандская
nl_BE,фламандская
nn,"нарвежская (нюнорск)"
no,нарвежская
oc,правансальская
oj,аджыбве
or,орыя
os,асецінская
pa,панджабі
pl,польская
ps,пушту
pt,партугальская
pt_BR,"партугальская (бразіл.)"
qu,кечуа
rm,рэта-раманская
ro,румынская
ro_MD,малдаўская
ru,руская
sa,санскрыт
sd,сіндхі
sh,сербска-харвацкая
si,сінгальская
sk,славацкая
sl,славенская
so,самалійская
sq,албанская
sr,сербская
su,суданская
sv,шведская
sw,суахілі
ta,тамільская
te,тэлугу
tg,таджыкская
th,тайская
ti,тыгрынья
tk,туркменская
tr,турэцкая
tt,татарская
ug,уйгурская
uk,украінская
ur,урду
uz,узбекская
vi,в’етнамская
vo,валапюк
xh,хоса
yi,ідыш
zh,кітайская
zu,зулу
