iso,name
1,Свет
2,Афрыка
3,"Паўночная Амэрыка"
5,"Паўднёвая Амэрыка"
9,Акіянія
11,"Заходняя Афрыка"
13,"Цэнтральная Амэрыка"
14,"Усходняя Афрыка"
15,"Паўночная Афрыка"
17,"Цэнтральная Афрыка"
18,"Паўднёвая Афрыка"
19,"Паўночная і Паўднёвая Амерыкі"
21,"ЗША і Канада"
29,"Карыбскія астравы"
30,"Усходняя Азія"
34,"Паўднёвая Азія"
35,"Паўднёва-Усходняя Азія"
39,"Паўднёвая Еўропа"
53,"Аўстралія і Новая Зэландыя"
61,Палінезія
142,Азія
143,"Цэнтральная Азія"
145,"Заходняя Азія"
150,Еўропа
151,"Усходняя Еўропа"
154,"Паўночная Еўропа"
155,"Заходняя Еўропа"
