iso,name
1,Bed
2,Afrika
3,Norzhamerika
5,Suamerika
9,Oseania
11,"Afrika ar Cʼhornôg"
13,Kreizamerika
14,"Afrika ar Reter"
15,"Afrika an Norzh"
17,"Afrika ar Cʼhreiz"
18,"Afrika ar Su"
19,Amerikaoù
21,"Amerika an Norzh"
29,Karib
30,"Azia ar Reter"
34,"Azia ar Su"
35,"Azia ar Gevred"
39,"Europa ar Su"
53,Aostralazia
54,Melanezia
57,"Rannved Mikronezia"
61,Polinezia
142,Azia
143,"Azia ar Cʼhreiz"
145,"Azia ar Cʼhornôg"
150,Europa
151,"Europa ar Reter"
154,"Europa an Norzh"
155,"Europa ar Cʼhornôg"
419,"Amerika Latin"
