iso,name
aa,àfar
ab,abkhaz
ae,avèstic
af,afrikaans
ak,àkan
am,amhàric
an,aragonès
ar,àrab
as,assamès
av,àvar
ay,aimara
az,àzeri
ba,baixkir
be,bielorús
bg,búlgar
bi,bislama
bm,bambara
bn,bengalí
bo,tibetà
br,bretó
bs,bosnià
ca,català
ce,txetxè
ch,chamorro
co,cors
cr,cree
cs,txec
cu,"eslau eclesiàstic"
cv,txuvaix
cy,gal·lès
da,danès
de,alemany
de_AT,"alemany austríac"
de_CH,"alt alemany suís"
dv,divehi
dz,dzongka
ee,ewe
el,grec
en,anglès
en_AU,"anglès australià"
en_CA,"anglès canadenc"
en_GB,"anglès (GB)"
en_US,"anglès (EUA)"
eo,esperanto
es,espanyol
es_ES,"espanyol europeu"
es_MX,"espanyol de Mèxic"
et,estonià
eu,basc
fa,persa
ff,ful
fi,finès
fj,fijià
fo,feroès
fr,francès
fr_CA,"francès canadenc"
fr_CH,"francès suís"
fy,"frisó oriental"
ga,irlandès
gd,"gaèlic escocès"
gl,gallec
gn,guaraní
gu,gujarati
gv,manx
ha,haussa
he,hebreu
hi,hindi
ho,"hiri motu"
hr,croat
ht,haitià
hu,hongarès
hy,armeni
hz,herero
ia,interlingua
id,indonesi
ie,interlingue
ig,igbo
ii,"yi sichuan"
ik,inupiak
io,ido
is,islandès
it,italià
iu,inuktitut
ja,japonès
jv,javanès
ka,georgià
kg,kongo
ki,kikuiu
kj,kuanyama
kk,kazakh
kl,grenlandès
km,khmer
kn,kannada
ko,coreà
kr,kanuri
ks,caixmiri
ku,kurd
kv,komi
kw,còrnic
ky,kirguís
la,llatí
lb,luxemburguès
lg,ganda
li,limburguès
ln,lingala
lo,laosià
lt,lituà
lu,"luba katanga"
lv,letó
mg,malgaix
mh,marshallès
mi,maori
mk,macedoni
ml,malaiàlam
mn,mongol
mr,marathi
ms,malai
mt,maltès
my,birmà
na,nauruà
nb,"noruec bokmål"
nd,"ndebele septentrional"
ne,nepalès
ng,ndonga
nl,neerlandès
nl_BE,flamenc
nn,"noruec nynorsk"
no,noruec
nr,"ndebele meridional"
nv,navaho
ny,nyanja
oc,occità
oj,ojibwa
om,oromo
or,oriya
os,osset
pa,panjabi
pi,pali
pl,polonès
ps,pushtu
pt,portuguès
pt_BR,"portuguès del Brasil"
pt_PT,"portuguès de Portugal"
qu,quítxua
rm,retoromànic
rn,rundi
ro,romanès
ro_MD,moldau
ru,rus
rw,ruandès
sa,sànscrit
sc,sard
sd,sindhi
se,"sami septentrional"
sg,sango
sh,serbocroat
si,singalès
sk,eslovac
sl,eslovè
sm,samoà
sn,shona
so,somali
sq,albanès
sr,serbi
ss,siswati
st,"sotho meridional"
su,sundanès
sv,suec
sw,suahili
ta,tàmil
te,telugu
tg,tadjik
th,tailandès
ti,tigrinya
tk,turcman
tl,tagàlog
tn,tswana
to,tongalès
tr,turc
ts,tsonga
tt,tàtar
tw,twi
ty,tahitià
ug,uigur
uk,ucraïnès
ur,urdú
uz,uzbek
ve,venda
vi,vietnamita
vo,volapük
wa,való
wo,wòlof
xh,xosa
yi,jiddisch
yo,ioruba
za,zhuang
zh,xinès
zu,zulu
