iso,name
1,Svět
2,Afrika
3,"Severní Amerika"
5,"Jižní Amerika"
9,Oceánie
11,"Západní Afrika"
13,"Střední Amerika"
14,"Východní Afrika"
15,"Severní Afrika"
17,"Střední Afrika"
18,"Jižní Afrika"
19,Amerika
21,"Severní Amerika (oblast)"
29,Karibik
30,"Východní Asie"
34,"Jižní Asie"
35,"Jihovýchodní Asie"
39,"Jižní Evropa"
53,Australasie
54,Melanésie
57,"Mikronésie (region)"
61,Polynésie
142,Asie
143,"Střední Asie"
145,"Západní Asie"
150,Evropa
151,"Východní Evropa"
154,"Severní Evropa"
155,"Západní Evropa"
419,"Latinská Amerika"
