iso,name
1,འཛམ་གླིང༌
2,ཨཕ་རི་ཀ
3,བྱང་ཨ་མི་རི་ཀ
5,ལྷོ་ཨ་མི་རི་ཀ
9,ཨོཤི་ཡཱན་ན
11,ནུབ་ཕྱོགས་ཀྱི་ཨཕ་རི་ཀ
13,བར་ཕྱོགས་ཨ་མི་རི་ཀ
14,ཤར་ཕྱོགས་ཀྱི་ཨཕ་རི་ཀ
15,བྱང་ཕྱོགས་ཀྱི་ཨཕ་རི་ཀ
17,སྦུག་ཕྱོགས་ཀྱི་ཨཕ་རི་ཀ
18,ལྷོའི་ཨཕ་རི་ཀ
19,ཨ་མི་རི་ཀ་ཚུ
21,བྱང་ཕྱོགས་ཀྱི་ཨ་མི་རི་ཀ
29,ཀེ་རི་བི་ཡེན
30,ཤར་ཕྱོགས་ཀྱི་ཨེ་ཤི་ཡ
34,ལྷོའི་ཨེ་ཤི་ཡ
35,ལྷོ་ཤར་ཕྱོགས་ཀྱི་ཨེ་ཤི་ཡ
39,ལྷོའི་ཡུ་རོབ
53,ཨཱོས་ཊྲེལ་ཨེ་ཤི་ཡ
54,མེ་ལ་ནི་ཤི་ཡ
57,ལུང་ཕྱོགས་མའི་ཀྲོ་ནི་ཤི་ཡ
61,པོ་ལི་ནི་ཤི་ཡ
142,ཨེ་ཤི་ཡ
143,སྦུག་ཕྱོགས་ཀྱི་ཨེ་ཤི་ཡ
145,ནུབ་ཕྱོགས་ཀྱི་ཨེ་ཤི་ཡ
150,ཡུ་རོབ
151,ཤར་ཕྱོགས་ཀྱི་ཡུ་རོབ
154,བྱང་ཕྱོགས་ཀྱི་ཡུ་རོབ
155,ནུབ་ཕྱོགས་ཀྱི་ཡུ་རོབ
419,ལེ་ཊིནཨ་མི་རི་ཀ
