iso,name
1,xexeme
2,"Afrika nutome"
3,"Dziehe Amerika nutome"
5,"Anyiehe Amerika nutome"
9,"Oceania nutome"
11,"Ɣetoɖoƒelɔƒo Afrika nutome"
13,"Titina Amerika nutome"
14,"Ɣedzeƒe Afrika nutome"
15,"Dziehe Afrika nutome"
17,"Titina Afrika nutome"
18,"Anyiehelɔƒo Afrika nutome"
19,"Amerika nutome"
21,"Dziehelɔƒo Amerika nutome"
29,"Karibbea nutome"
30,"Ɣedzeƒe Asia nutome"
34,"Anyiehelɔƒo Asia nutome"
35,"Anyiehe Ɣedzeƒe Afrika nutome"
39,"Anyiehelɔƒo Europa nutome"
53,"Australia kple New Zealand nutome"
54,"Melanesia nutome"
57,Mikronesia
61,"Pɔlinesia nutome"
142,"Asia nutome"
143,"Titina Asia nutome"
145,"Ɣetoɖoƒelɔƒo Asia nutome"
150,"Europa nutome"
151,"Ɣedzeƒe Europa nutome"
154,"Dziehelɔƒo Europa nutome"
155,"Ɣetoɖoƒelɔƒo Europa nutome"
419,"Latin Amerika nutome"
