iso,name
ab,abkhaziagbe
af,afrikaangbe
ak,blugbe
am,amhariagbe
ar,arabiagbe
as,assamegbe
av,avariagbe
ay,aymargbe
az,azerbaijangbe
ba,bashkigbe
be,belarusiagbe
bg,bulgariagbe
bi,bislamagbe
bm,bambaragbe
bn,bengalgbe
bo,tibetagbe
br,bretongbe
bs,bosniagbe
ca,katalagbe
ch,kamorrogbe
cs,tsɛkgbe
cy,walesgbe
da,denmarkgbe
de,germaniagbe
de_AT,"austriatɔwo ƒe germaniagbe"
de_CH,"swizerlanɖ germaniagbe kɔkɔtɔ"
dv,divehgbe
dz,dzongkhagbe
ee,eʋegbe
el,grisigbe
en,yevugbe
en_AU,"australiatɔwo ƒe yevugbe"
en_CA,"kanadatɔwo ƒe yevugbe"
en_GB,"britaintɔwo ƒe yevugbe"
en_US,"u.s.dukɔmetɔwo ƒe yevugbe"
eo,esperantogbe
es,spaniagbe
es_ES,"iberiatɔwo ƒe spaniagbe"
et,estoniagbe
eu,basqugbe
fa,persiagbe
ff,fulagbe
fi,finlanɖgbe
fj,fidzigbe
fo,faroegbe
fr,fransegbe
fr_CA,"kanadatɔwo ƒe fransegbe"
fr_CH,"swizerlanɖtɔwo ƒe fransegbe"
fy,"ɣetoɖoƒe frisiagbe"
ga,irelanɖgbe
gd,"skɔtlanɖ gaeliagbe"
gl,galatagbe
gn,guarangbe
gu,gujarati
ha,hausagbe
he,hebrigbe
hi,hindigbe
ho,"hiri motugbe"
hr,kroatiagbe
ht,haitigbe
hu,hungarigbe
hy,armeniagbe
id,indonesiagbe
ig,igbogbe
is,icelanɖgbe
it,italiagbe
ja,dzapangbe
jv,dzavangbe
ka,gɔgiagbe
kg,kongogbe
kj,kunyamagbe
kk,kazakhstangbe
kl,kalaalisugbe
km,khmergbe
kn,kannadagbe
ko,koreagbe
kr,kanuriagbe
ks,kashmirgbe
ku,kurdiagbe
ky,kirghistangbe
la,latin
lb,laksembɔggbe
ln,lingala
lo,laogbe
lt,lithuaniagbe
lu,luba-katangagbe
lv,latviagbe
mg,malagasegbe
mh,marshalgbe
mi,maorgbe
mk,makedoniagbe
ml,malayagbe
mn,mongoliagbe
mr,marathiagbe
ms,malaygbe
mt,maltagbe
my,burmagbe
na,naurugbe
nb,"nɔweigbe bokmål"
nd,"dziehe ndebelegbe"
ne,nepalgbe
nl,hɔlandgbe
nl_BE,flemiagbe
nn,"nɔweigbe ninɔsk"
no,nɔweigbe
nr,"anyiehe ndebelegbe"
ny,nyanjagbe
or,oriyagbe
os,ossetiagbe
pa,pundzabgbe
pl,polandgbe
ps,pashtogbe
pt,pɔtugalgbe
pt_BR,"braziltɔwo ƒe portugalgbe"
pt_PT,"iberiatɔwo ƒe portugalgbe"
qu,kwetsuagbe
rm,romanshgbe
rn,rundigbe
ro,romaniagbe
ru,rɔtsiagbe
rw,ruwandagbe
sa,sanskrigbe
sd,sindhgbe
se,"dziehe samigbe"
sg,sangogbe
sh,serbo-croatiagbe
si,sinhalgbe
sk,slovakiagbe
sl,sloveniagbe
sm,samoagbe
sn,shonagbe
so,somaliagbe
sq,albaniagbe
sr,serbiagbe
ss,swatgbe
st,"anyiehe sothogbe"
su,sudangbe
sv,swedengbe
sw,swahili
ta,tamilgbe
te,telegugbe
tg,tadzikistangbe
th,tailandgbe
ti,tigrinyagbe
tk,tɛkmengbe
tl,tagalogbe
tn,tswanagbe
to,tongagbe
tr,tɛkigbe
ts,tsongagbe
tt,tatargbe
ty,tahitigbe
ug,uighurgbe
uk,ukraingbe
ur,urdugbe
uz,uzbekistangbe
ve,vendagbe
vi,vietnamgbe
wo,wolofgbe
xh,xhosagbe
yo,yorubagbe
za,zhuangbe
zh,kinagbe
zu,zulugbe
