iso,name
aa,Αφάρ
ab,Αμπχαζικά
ae,Αβεστάν
af,Αφρικάανς
ak,Ακάν
am,Αμαρικά
an,Αραγκονικά
ar,Αραβικά
as,Ασαμεζικά
av,Άβαρικ
ay,Αϊμάρα
az,Αζερικά
ba,Μπασκίρ
be,Λευκορωσικά
bg,Βουλγαρικά
bi,Μπισλάμα
bm,Μπαμπάρα
bn,Μπενγκάλι
bo,Θιβετιανά
br,Βρετονικά
bs,Βοσνιακά
ca,Καταλανικά
ce,Τσέτσνιαν
ch,Καμόρρο
co,Κορσικανικά
cr,Κρι
cs,Τσεχικά
cu,"Εκκλησιαστικά Σλαβικά"
cv,Χουβάς
cy,Ουαλικά
da,Δανικά
de,Γερμανικά
de_AT,"Γερμανικά Αυστρίας"
de_CH,"Γερμανικά Ελβετίας"
dv,Ντιβέχι
dz,Ντζόνγκχα
ee,Γι
el,Ελληνικά
en,Αγγλικά
en_AU,"Αγγλικά Αυστραλίας"
en_CA,"Αγγλικά Καναδά"
en_GB,"Αγγλικά ΗΒ"
en_US,"Αγγλικά ΗΠΑ"
eo,Εσπεράντο
es,Ισπανικά
es_ES,"Ισπανικά Ευρώπης"
es_MX,"Ισπανικά Μεξικού"
et,Εσθονικά
eu,Βασκικά
fa,Περσικά
ff,Φουλάχ
fi,Φινλανδικά
fj,Φίτζι
fo,Φαρόε
fr,Γαλλικά
fr_CA,"Γαλλικά Καναδά"
fr_CH,"Γαλλικά Ελβετίας"
fy,"Δυτικά Φριζιανά"
ga,Ιρλανδικά
gd,"Σκωτικά Κελτικά"
gl,Γαλικιανά
gn,Γκουαρανί
gu,Γκουγιαράτι
gv,Μανξ
ha,Χάουσα
he,Εβραϊκά
hi,Χίντι
ho,"Χίρι Μότου"
hr,Κροατικά
ht,Αϊτιανά
hu,Ουγγρικά
hy,Αρμενικά
hz,Χερέρο
ia,Ιντερλίνγκουα
id,Ινδονησιακά
ie,Ιντερλίνγκουε
ig,Ίγκμπο
ii,"Σικουάν Γι"
ik,Ινουπιάκ
io,Ίντο
is,Ισλανδικά
it,Ιταλικά
iu,Ινουκτιτούτ
ja,Ιαπωνικά
jv,Ιαβανεζικά
ka,Γεωργιανά
kg,Κονγκό
ki,Κικούγιου
kj,Κουανιγιάμα
kk,Καζακικά
kl,Καλαάλισουτ
km,Καμποτζιανά
kn,Κανάντα
ko,Κορεατικά
kr,Κανούρι
ks,Κασμίρι
ku,Κουρδικά
kv,Κόμι
kw,Κόρνις
ky,Κυργιζικά
la,Λατινικά
lb,Λουξεμβουργιανά
lg,Γκάντα
li,Λιμβουργιανά
ln,Λινγκάλα
lo,Λαοθιανά
lt,Λιθουανικά
lu,Λούμπα-Κατάνγκα
lv,Λετονικά
mg,Μαλαγάσι
mh,Μάρσαλ
mi,Μάορι
mk,Σλαβομακεδονικά
ml,Μαλαγιαλάμ
mn,Μογγολικά
mr,Μαράθι
ms,Μαλάι
mt,Μαλτεζικά
my,Βιρμανικά
na,Ναούρου
nb,"Νορβηγικά Μποκμάλ"
nd,"Ντεμπέλε Βορρά"
ne,Νεπάλι
ng,Ντόνγκα
nl,Ολλανδικά
nl_BE,Φλαμανδικά
nn,"Νορβηγικά Νινόρσκ"
no,Νορβηγικά
nr,"Ντεμπέλε Νότου"
nv,Νάβαχο
ny,Νιάντζα
oc,Οκσιτανικά
oj,Οζιβίγουα
om,Ορόμο
or,Ορίγια
os,Οσετικά
pa,Παντζαπικά
pi,Πάλι
pl,Πολωνικά
ps,Πάστο
pt,Πορτογαλικά
pt_BR,"Πορτογαλικά Βραζιλίας"
pt_PT,"Πορτογαλικά Ευρώπης"
qu,Κετσούα
rm,Ρομανικά
rn,Ρούντι
ro,Ρουμανικά
ro_MD,Μολδαβικά
ru,Ρωσικά
rw,Κινιαρβάντα
sa,Σανσκριτικά
sc,Σαρδινικά
sd,Σίντι
se,"Βόρεια Σάμι"
sg,Σάνγκο
sh,Σερβοκροατικά
si,Σινχαλεζικά
sk,Σλοβακικά
sl,Σλοβενικά
sm,Σαμόαν
sn,Σχόνα
so,Σομάλι
sq,Αλβανικά
sr,Σερβικά
ss,Σουάτι
st,"Νότια Σόθο"
su,Σουδανικά
sv,Σουηδικά
sw,Σουαχίλι
ta,Ταμίλ
te,Τελούγκου
tg,Τατζίκ
th,Ταϊλανδικά
ti,Τιγκρίνυα
tk,Τουρκμενικά
tl,Ταγκαλόγκ
tn,Τσιγουάνα
to,Τονγκανικά
tr,Τουρκικά
ts,Τσόνγκα
tt,Τατάρ
tw,Τούι
ty,Ταϊτιανά
ug,Ουιγκούρ
uk,Ουκρανικά
ur,Ουρντού
uz,Ουζμπεκικά
ve,Βένδα
vi,Βιετναμικά
vo,Βόλαπικ
wa,Γουαλούν
wo,Γουόλοφ
xh,Ζόσα
yi,Γίντις
yo,Γιορούμπα
za,Ζουάνγκ
zh,Κινεζικά
zu,Ζουλού
