iso,name
1,Κόσμος
2,Αφρική
3,"Βόρεια Αμερική"
5,"Νότια Αμερική"
9,Ωκεανία
11,"Δυτική Αφρική"
13,"Κεντρική Αμερική"
14,"Ανατολική Αφρική"
15,"Βόρεια Αφρική"
17,"Μέση Αφρική"
18,"Νότιος Αφρική"
19,Αμερική
21,"Βόρειος Αμερική"
29,Καραϊβική
30,"Ανατολική Ασία"
34,"Νότια Ασία"
35,"Νοτιοανατολική Ασία"
39,"Νότια Ευρώπη"
53,Αυστραλασία
54,Μελανησία
57,"Περιοχή Μικρονησίας"
61,Πολυνησία
142,Ασία
143,"Κεντρική Ασία"
145,"Δυτική Ασία"
150,Ευρώπη
151,"Ανατολική Ευρώπη"
154,"Βόρεια Ευρώπη"
155,"Δυτική Ευρώπη"
419,"Λατινική Αμερική"
