iso,name
1,World
2,Africa
3,"North America"
5,"South America"
9,Oceania
11,"Western Africa"
13,"Central America"
14,"Eastern Africa"
15,"Northern Africa"
17,"Middle Africa"
18,"Southern Africa"
19,Americas
21,"Northern America"
29,Caribbean
30,"Eastern Asia"
34,"Southern Asia"
35,"Southeast Asia"
39,"Southern Europe"
53,Australasia
54,Melanesia
57,"Micronesian Region"
61,Polynesia
142,Asia
143,"Central Asia"
145,"Western Asia"
150,Europe
151,"Eastern Europe"
154,"Northern Europe"
155,"Western Europe"
419,"Latin America"
