iso,name
1,Mundo
2,África
3,"América del Norte"
5,Suramérica
9,Oceanía
11,"África occidental"
13,Centroamérica
14,"África oriental"
15,"África septentrional"
17,"África central"
18,"África meridional"
19,América
21,Norteamérica
29,Caribe
30,"Asia oriental"
34,"Asia meridional"
35,"Sudeste asiático"
39,"Europa meridional"
53,Australasia
54,Melanesia
57,"Región de Micronesia"
61,Polinesia
142,Asia
143,"Asia central"
145,"Asia occidental"
150,Europa
151,"Europa oriental"
154,"Europa septentrional"
155,"Europa occidental"
419,Latinoamérica
