iso,name
aa,آفاری
ab,آبخازی
ae,اوستایی
af,آفریکانس
ak,آکان
am,امهری
an,آراگونی
ar,عربی
as,آسامی
av,آواری
ay,آیمارایی
az,آذربایجانی
ba,باشغیری
be,بلوروسی
bg,بلغاری
bi,بیسلاما
bm,بامبارایی
bn,بنگالی
bo,تبتی
br,برتانیایی
bs,بوسنیایی
ca,کاتالان
ce,چچنی
ch,چامورویی
co,کورسی
cr,کریایی
cs,چکی
cu,"اسلاوی کلیسایی"
cv,چوواشی
cy,ویلزی
da,دانمارکی
de,آلمانی
de_AT,"آلمانی اتریش"
de_CH,"آلمانی علیای سوئیس"
dv,مالدیوی
dz,جونخایی
ee,اوه‌ای
el,یونانی
en,انگلیسی
en_AU,"انگلیسی استرالیا"
en_CA,"انگلیسی کانادا"
en_GB,"انگلیسی بریتانیا"
en_US,"انگلیسی امریکا"
eo,اسپرانتو
es,هسپانوی
es_ES,"اسپانیایی اروپا"
es_MX,"اسپانیایی مکزیک"
et,استونیایی
eu,باسکی
fa,فارسی
ff,فولایی
fi,فنلندی
fj,فیجیایی
fo,فارویی
fr,فرانسوی
fr_CA,"فرانسوی کانادا"
fr_CH,"فرانسوی سوئیس"
fy,"فریزی غربی"
ga,آیرلندی
gd,"گیلی اسکاتلندی"
gl,گالیسیایی
gn,گوارانی
gu,گجراتی
gv,مانی
ha,هوسیایی
he,عبری
hi,هندی
ho,"موتویی هیری"
hr,کروشیایی
ht,هائیتیایی
hu,مجاری
hy,ارمنی
hz,هریرویی
ia,میان‌زبان
id,اندونیزیایی
ie,اکسیدنتال
ig,ایگبویی
ii,"یی سیچوان"
ik,اینوپیک
io,ایدو
is,آیسلندی
it,ایتالوی
iu,اینوکتیتوت
ja,جاپانی
jv,جاوه‌ای
ka,گرجی
kg,کنگویی
ki,کیکویویی
kj,کوانیاما
kk,قزاقی
kl,گرینلندی
km,خمری
kn,کاناده‌ای
ko,کوریایی
kr,کانوریایی
ks,کشمیری
ku,کردی
kv,کومیایی
kw,کرنوالی
ky,قرغزی
la,لاتینی
lb,لوگزامبورگی
lg,گاندایی
li,لیمبورگی
ln,لینگالا
lo,لائوسی
lt,لیتوانیایی
lu,لوبایی‐کاتانگا
lv,لتونیایی
mg,مالاگاسیایی
mh,مارشالی
mi,مائوریایی
mk,مقدونی
ml,مالایالامی
mn,مغلی
mr,مراتی
ms,مالایی
mt,مالتی
my,برمه‌ای
na,نائورویی
nb,"بوکسمال نروژی"
nd,"انده‌بله‌ای شمالی"
ne,نیپالی
ng,اندونگایی
nl,هالندی
nl_BE,فلمنگی
nn,"نرس جدید نروژی"
no,نارویژی
nr,"انده‌بله‌ای جنوبی"
nv,ناواهویی
ny,نیانجایی
oc,اوکیتایی
oj,اوجیبوایی
om,اورومویی
or,اوریه‌ای
os,آسی
pa,پنجابی
pi,پالی
pl,پولندی
ps,پختو
pt,پرتگالی
pt_BR,"پرتغالی برزیل"
pt_PT,"پرتغالی اروپا"
qu,کچوایی
rm,رومانش
rn,روندیایی
ro,رومانیایی
ro_MD,مولداویایی
ru,روسی
rw,کینیارواندایی
sa,سنسکریت
sc,ساردینیایی
sd,سندی
se,"سامی شمالی"
sg,سانگویی
sh,"صرب و کرواتی"
si,سینهالی
sk,اسلواکی
sl,اسلووینیایی
sm,ساموآیی
sn,شونایی
so,سومالیایی
sq,آلبانیایی
sr,صربی
ss,سوازیایی
st,"سوتویی جنوبی"
su,سوندایی
sv,سویدنی
sw,سواحلی
ta,تامیلی
te,تلوگویی
tg,تاجکی
th,تایلندی
ti,تیگرینیایی
tk,ترکمنی
tl,تاگالوگی
tn,تسوانایی
to,تونگایی
tr,ترکی
ts,تسونگایی
tt,تاتاری
tw,توی‌یایی
ty,تاهیتیایی
ug,اویغوری
uk,اوکراینی
ur,اردو
uz,ازبکی
ve,وندایی
vi,ویتنامی
vo,ولاپوک
wa,والونی
wo,ولوفی
xh,خوسایی
yi,یدی
yo,یوروبایی
za,چوانگی
zh,چینی
zu,زولویی
