iso,name
ab,abkhaziskt
af,afríska
am,amhariskt
ar,arabiskt
as,assamesiskt
ay,aymara
az,azerbaijaniskt
be,hvitarussiskt
bg,bulgarskt
bm,bambara
bn,bengaliskt
bo,tibetanskt
br,bretonskt
bs,bosniskt
ca,katalanskt
cs,kekkiskt
cy,valisiskt
da,danskt
de,týskt
dv,divehi
dz,dzongkha
el,grikiskt
en,enskt
eo,esperanto
es,spanskt
et,estlendskt
eu,baskiskt
fa,persiskt
fi,finskt
fj,fidjianskt
fo,føroyskt
fr,franskt
fy,vestfrisikt
ga,írskt
gd,"skotskt gæliskt"
gl,galisiskt
gn,guarani
gu,gujariti
ha,haussa
he,hebraiskt
hi,hindi
hr,kroatiskt
ht,haitiskt
hu,ungarskt
hy,armenskt
ia,interlingua
id,indonesiskt
ie,interlingue
ig,igbo
is,íslendskt
it,italskt
ja,japanskt
jv,javanesiskt
ka,georgiskt
kk,kazakiskt
km,kambodjanskt
kn,kannada
ko,koreanskt
ks,kashmiriskt
ku,kurdiskt
ky,kirgisikt
la,latín
lb,luxemburgiskt
ln,lingala
lo,laotiskt
lt,litavskt
lv,latviskt
mg,malagasiskt
mi,maoriskt
mk,makedonskt
ml,malayalam
mn,mongoliskt
mr,marathiskt
ms,malajiskt
mt,maltesiskt
my,burmesiskt
nb,"norskt bokmál"
ne,nepalskt
nl,hollendskt
nn,nýnorskt
no,norskt
ny,nyanja
oc,occitan
or,oriya
os,ossetiskt
pa,punjabiskt
pl,polskt
ps,afghanskt
pt,portugisiskt
qu,quechua
rm,romansh
rn,rundi
ro,romanskt
ru,russiskt
rw,ruanda
sa,sanskrit
sd,sindhi
sg,sango
sh,serbokroatiskt
si,sinhalesiskt
sk,slovakiskt
sl,slovenskt
sm,samoiskt
sn,shona
so,somaliskt
sq,albanskt
sr,serbiskt
ss,swatiskt
st,sesotho
su,sundanesiskt
sv,svenskt
sw,swahili
ta,tamilskt
te,telugiskt
tg,tajikiskt
th,thailendskt
ti,tigrinya
tk,turkmenskt
tl,tagalog
tn,tswana
to,tonganskt
tr,turkiskt
ts,tsonga
tt,tatariskt
tw,twi
ty,tahitiskt
ug,uighur
uk,ukrainskt
ur,urdu
uz,uzbekiskt
ve,venda
vi,vietnamesiskt
wo,wolof
xh,xhosa
yi,jiddiskt
yo,yoruba
zh,kinesiskt
zu,sulu
