iso,name
1,Monde
2,Afrique
3,"Amérique du Nord"
5,"Amérique du Sud"
9,Océanie
11,"Afrique occidentale"
13,"Amérique centrale"
14,"Afrique orientale"
15,"Afrique septentrionale"
17,"Afrique centrale"
18,"Afrique australe"
19,Amériques
21,"Amérique septentrionale"
29,Caraïbes
30,"Asie orientale"
34,"Asie du Sud"
35,"Asie du Sud-Est"
39,"Europe méridionale"
53,Australasie
54,Mélanésie
57,"région micronésienne"
61,Polynésie
142,Asie
143,"Asie centrale"
145,"Asie occidentale"
150,Europe
151,"Europe orientale"
154,"Europe septentrionale"
155,"Europe occidentale"
419,"Amérique latine"
