iso,name
1,"An Domhan"
2,"An Afraic"
3,"Meiriceá Thuaidh"
5,"Meiriceá Theas"
9,"An Aigéine"
11,"Iarthar na hAfraice"
13,"Meiriceá Láir"
14,"Oirthear na hAfraice"
15,"Tuaisceart na hAfraice"
17,"An Afraic Láir"
18,"Deisceart na hAfraice"
19,"Críocha Mheiriceá"
21,"Tuaisceart Mheiriceá"
29,"An Mhuir Chairib"
30,"Oirthear na hÁise"
34,"Deisceart na hÁise"
35,"Oirdheisceart na hÁise"
39,"Deisceart na hEorpa"
53,"An Astraláise"
54,"An Mheilinéis"
57,"An Réigiún Micrinéiseach"
61,"An Pholainéis"
142,"An Áise"
143,"An Áise Láir"
145,"Iarthar na hÁise"
150,"An Eoraip"
151,"Oirthear na hEorpa"
154,"Tuaisceart na hEorpa"
155,"Iarthar na hEorpa"
419,"Meiriceá Laidineach"
