iso,name
aa,Afar
ab,Abchasais
ae,Avestanais
af,Afraganais
ak,Akan
am,Amtharais
an,Aragonais
ar,Arabais
as,Asamais
av,Avarais
az,Azeri
ba,Bashkir
be,Bealaruisis
bg,Bulgarais
bi,Bislama
bm,Bambara
bn,Beangailis
bo,Tibeitis
br,Breatnais
bs,Bosnais
ca,Catalanais
ce,Deideanais
ch,Chamorro
co,Corsais
cs,Seacais
cu,"Slàbhais na h-Eaglaise"
cy,Cuimris
da,Danmhairgis
de,Gearmailtis
dv,Divehi
dz,Dzongkha
ee,Ewe
el,Greugais
en,Beurla
eo,Esperanto
es,Spàinntis
et,Eastoinis
eu,Basgais
fa,Farsaidh
fi,Fionnlannais
fj,Fìdis
fo,Fàrothais
fr,Fraingis
fy,"Frìoslannais Siarach"
ga,Gaeilge
gd,Gàidhlig
gl,Gailìsis
gn,Guaraní
gu,Gujarati
gv,Gaelg
ha,Hausa
he,Eabhra
hi,Hindis
ho,"Hiri Motu"
hr,Cròthaisis
ht,"Crìtheol Haidhti"
hu,Ungairis
hy,Airmeinis
ia,Interlingua
id,Innd-Innsis
ie,Interlingue
ig,Igbo
ii,"Yi Sichuan"
ik,Inupiaq
io,Ido
is,"Innis Tìlis"
it,Eadailtis
iu,Inuktitut
ja,Seapanais
jv,Deàbhanais
ka,Cairtbheilis
ki,Kikuyu
kk,Casachais
kl,Kalaallisut
km,Cmèar
kn,Kannada
ko,Coirèanais
ks,Caismiris
ku,Cùrdais
kw,Còrnais
ky,Cìorgasais
la,Laideann
lb,Lugsamburgais
lg,Ganda
ln,Lingala
lo,Làtho
lt,Liotuainis
lu,Luba-Katanga
lv,Laitbheis
mg,Malagasais
mh,Marshallais
mi,Māori
mk,Masadonais
ml,Malayalam
mn,Mongolais
mr,Marathi
ms,Malaidhis
mt,Maltais
my,Burmais
na,Nabhru
nb,"Bokmål na Nirribhidh"
nd,"Ndebele Thuathach"
ne,Neapàilis
nl,Duitsis
nn,"Nynorsk na Nirribhidh"
no,Nirribhis
nr,"Ndebele Dheasach"
ny,Chichewa
oc,Ogsatanais
om,Oromo
or,Oriya
os,Ossetic
pa,Panjabi
pi,Pali
pl,Pòlainnis
ps,Pachtu
pt,Portagailis
qu,Ceatsua
rm,Rumains
rn,Kirundi
ro,Romàinis
ru,Ruisis
rw,Kinyarwanda
sa,Sanskrit
sc,Sàrdais
sd,Sindhi
se,"Sàmais Thuathach"
sg,Sango
sh,Sèirb-Chròthaisis
si,Sinhala
sk,Slòbhacais
sl,Slòbhainis
sm,Samothais
sn,Shona
so,Somàilis
sq,Albàinis
sr,Sèirbis
st,"Leasotach Dheasach"
su,"Cànan Sunda"
sv,Suainis
sw,Kiswahili
ta,Taimilis
te,Telugu
tg,Taidigis
th,Tàidh
ti,Tigrinya
tk,Turcmanais
tl,Tagalog
to,Tongais
tr,Turcais
ts,Tsonga
tt,Tatarais
ug,Ùigiurais
uk,Ucràinis
ur,Ùrdu
uz,Usbagais
ve,Venda
vi,Bhiet-Namais
vo,Volapük
wo,Wolof
xh,Xhosa
yi,Iùdhais
yo,Ioruba
zh,Sìnis
zu,Zulu
