iso,name
1,Mundo
2,África
3,Norteamérica
5,Sudamérica
9,Oceanía
11,"África Occidental"
13,"América Central"
14,"África Oriental"
15,"África Septentrional"
17,"África Central"
18,"África Meridional"
19,América
21,"América do Norte"
29,Caribe
30,"Asia Oriental"
34,"Sul de Asia"
35,"Sureste Asiático"
39,"Europa Meridional"
53,Australasia
54,Melanesia
57,"Rexión da Micronesia"
61,Polinesia
142,Asia
143,"Asia Central"
145,"Asia Occidental"
150,Europa
151,"Europa do Leste"
154,"Europa Septentrional"
155,"Europa Occidental"
419,"América Latina"
