iso,name
1,વિશ્વ
2,આફ્રિકા
3,"ઉત્તર અમેરિકા"
5,"દક્ષિણ અમેરિકા"
9,ઓશિઆનિયા
11,"પશ્ચિમી આફ્રિકા"
13,"મધ્ય અમેરિકા"
14,"પૂર્વીય આફ્રિકા"
15,"ઉત્તરીય આફ્રિકા"
17,"મધ્ય આફ્રિકા"
18,"દક્ષિણી આફ્રિકા"
19,અમેરિકાસ
21,"ઉત્તરીય અમેરિકા"
29,કેરિબિયન
30,"પૂર્વીય એશિયા"
34,"દક્ષિણી એશિયા"
35,"દક્ષિણપૂર્વ એશિયા"
39,"દક્ષિણી યુરોપ"
53,ઓસ્ટ્રેલેશિયા
54,મેલાનેશિયા
57,"માઇક્રોનેશિયન રીજન"
61,પોલિનેશિયા
142,એશિયા
143,"મધ્ય એશિયા"
145,"પશ્ચિમી એશિયા"
150,યુરોપ
151,"પૂર્વીય યુરોપ"
154,"ઉત્તરીય યુરોપ"
155,"પશ્ચિમ યુરોપ"
419,"લેટિન અમેરિકા"
