iso,name
aa,અફાર
ab,અબખાજિયન
ae,અવેસ્તન
af,આફ્રિકન્સ
ak,અકાન
am,એમ્હારિક
an,અર્ગોનીઝ
ar,અરબી
as,આસામી
av,અવેરિક
ay,આયમારા
az,અઝેરી
ba,બશ્કીર
be,બેલારુશિયન
bg,બલ્ગેરિયન
bi,બિસ્લામા
bm,બામ્બારા
bn,બંગાળી
bo,તિબેટીયન
br,બ્રેટોન
bs,બોસ્નિયન
ca,કતલાન
ce,ચેચન
ch,કેમોરો
co,કોર્સિકન
cr,ક્રી
cs,ચેક
cu,"ચર્ચ સ્લાવિક"
cv,ચૂવાશ
cy,વેલ્શ
da,ડેનિશ
de,જર્મન
dv,દિવેહી
dz,ડ્ઝોંગ્ખા
ee,ઈવ
el,ગ્રીક
en,અંગ્રેજી
eo,એસ્પેરાન્ટો
es,સ્પેનિશ
et,એસ્ટોનિયન
eu,બાસ્ક
fa,ફારસી
ff,ફુલાહ
fi,ફિનિશ
fj,ફિજીયન
fo,ફોરિસ્ત
fr,ફ્રેન્ચ
fy,"પશ્ચિમી ફ્રિશિયન"
ga,આઇરિશ
gd,"સ્કોટ્સ ગેલિક"
gl,ગેલિશિયન
gn,ગુઆરાની
gu,ગુજરાતી
gv,માંક્સ
ha,હૌસા
he,હીબ્રુ
hi,હિન્દી
ho,"હિરી મોટૂ"
hr,ક્રોએશિયન
ht,હૈતીયન
hu,હંગેરિયન
hy,આર્મેનિયન
hz,હેરેરો
ia,ઇંટરલિંગુઆ
id,ઇન્ડોનેશિયન
ie,ઇંટરલિંગ
ig,ઇગ્બો
ii,"સિચુઆન યી"
ik,ઇનુપિયાક
io,ઇડૌ
is,આઇસલેન્ડિક
it,ઇટાલિયન
iu,ઇનુકિટૂટ
ja,જાપાનીઝ
jv,જાવાનીસ
ka,જ્યોર્જિઅન
kg,કોંગો
ki,કિકુયૂ
kj,ક્વાન્યામા
kk,કઝાખ
kl,કલાલ્લિસુત
km,ખ્મેર
kn,કન્નડ
ko,કોરિયન
kr,કનુરી
ks,કાશ્મીરી
ku,કુર્દિશ
kv,કોમી
kw,કોર્નિશ
ky,કિર્ગીઝ
la,લેટિન
lb,લક્ઝેમબર્ગિશ
lg,ગાંડા
li,લિંબૂર્ગિશ
ln,લિંગાલા
lo,લાઓથિયન
lt,લિથુનિયન
lu,"લ્યૂબા કટાંગા"
lv,લાતવિયન
mg,મલાગસી
mh,માર્શલીઝ
mi,માઓરી
mk,મેસેડોનિયન
ml,મલયાલમ
mn,મોંગોલિયન
mr,મરાઠી
ms,મલય
mt,માલ્ટિઝ
my,બર્મીઝ
na,નાઉરૂ
nb,"નોર્વેજીયન બોકમાલ"
nd,"ઉતર દેબેલ"
ne,નેપાળી
ng,ડોન્ગા
nl,ડચ
nn,"નૉર્વેજીયન નાયનૉર્સ્ક"
no,નૉર્વેજીયન
nr,"દક્ષિણ દેબેલ"
nv,નાવાજો
ny,ન્યાન્જા
oc,ઓક્સિટન
oj,ઓઝિંબ્વા
om,ઓરોમો
or,ઉડિયા
os,ઓસ્સેટિક
pa,પંજાબી
pi,પાલી
pl,પોલીશ
ps,પુશ્તો
pt,પોર્ટુગીઝ
qu,ક્વેચુઆ
rm,રોમાન્શ
rn,રૂન્દી
ro,રોમાનિયન
ru,રશિયન
rw,કિન્યારવાન્ડા
sa,સંસ્કૃત
sc,સાર્દિનિયન
sd,સિંધી
se,"ઉત્તરીય સામી"
sg,સાંગો
sh,સર્બો-ક્રોએશિયન
si,સિંહાલી
sk,સ્લોવૅક
sl,સ્લોવેનિયન
sm,સામોન
sn,શોના
so,સોમાલી
sq,અલ્બેનિયન
sr,સર્બિયન
ss,સ્વાતી
st,"સદર્ન સોથો"
su,સંડેનીઝ
sv,સ્વીડિશ
sw,સ્વાહિલી
ta,તમિલ
te,તેલુગુ
tg,તાજીક
th,થાઈ
ti,ટાઇગ્રિનિયા
tk,તુર્કમેન
tl,ટાગાલોગ
tn,ત્સ્વાના
to,ટોંગાન
tr,ટર્કીશ
ts,સોંગા
tt,તતાર
tw,ટ્વાઇ
ty,તાહિતિયન
ug,ઉઇગુર
uk,યુક્રેનિયન
ur,ઉર્દૂ
uz,ઉઝ્બેક
ve,વેન્દા
vi,વિયેતનામીસ
vo,વોલાપુક
wa,વાલૂન
wo,વોલોફ
xh,ખોસા
yi,યિદ્દિશ
yo,યોરૂબા
za,ઝુઆગ
zh,ચાઇનીઝ
zu,ઝુલુ
