iso,name
aa,अफ़ार
ab,अब्ख़ाज़ियन
ae,अवस्ताई
af,अफ़्रीकी
ak,अकन
am,अम्हेरी
an,अर्गोनी
ar,अरबी
as,असमिया
av,अवेरिक
ay,आयमारा
az,अज़ेरी
ba,बशख़िर
be,बेलारूसी
bg,बुल्गारियाई
bi,बिस्लामा
bm,बाम्बारा
bn,बंगाली
bo,तिब्बती
br,ब्रेटन
bs,बोस्नियाई
ca,कातालान
ce,चेचन
ch,कमोरो
co,कोर्सीकन
cr,क्री
cs,चेक
cu,"चर्च साल्विक"
cv,चूवाश
cy,वेल्श
da,डेनिश
de,जर्मन
de_AT,"ऑस्ट्रियाई जर्मन"
de_CH,"स्विस उच्च जर्मन"
dv,दिवेही
dz,ज़ोन्गखा
ee,ईवे
el,यूनानी
en,अंग्रेज़ी
en_AU,"ऑस्ट्रेलियाई अंग्रेज़ी"
en_CA,"कनाडाई अंग्रेज़ी"
en_GB,"यू.के. अंग्रेज़ी"
en_US,"अमेरिकी अंग्रेज़ी"
eo,एस्पेरेंतो
es,स्पेनी
es_ES,"यूरोपीय स्पेनी"
es_MX,"मैक्सिकन स्पेनिश"
et,एस्टोनियाई
eu,बास्क
fa,फ़ारसी
ff,फुलाह
fi,फ़िनिश
fj,फ़ीजी
fo,फ़ैरोइज़
fr,फ़्रेंच
fr_CA,"कनाडाई फ़्रेंच"
fr_CH,"स्विस फ़्रेंच"
fy,"पश्चिमी फ़्रिसियाई"
ga,आइरिश
gd,"स्काट्स् गायेलिक्"
gl,गैलिशियन
gn,गुआरानी
gu,गुजराती
gv,मैंक्स
ha,हौसा
he,हिब्रू
hi,हिन्दी
ho,"हिरी मोटू"
hr,क्रोएशियाई
ht,हैतियाई
hu,हंगेरियाई
hy,आर्मेनियाई
hz,हरैरो
ia,ईन्टरलिंगुआ
id,इंडोनेशियाई
ie,ईन्टरलिंगुइ
ig,ईग्बो
ii,"सिचुआन यी"
ik,इनुपियाक्
io,इडौ
is,आइसलैंडी
it,इतालवी
iu,इनूकीटूत्
ja,जापानी
jv,जावानीज़
ka,जॉर्जियाई
kg,कोंगो
ki,किकुयू
kj,क्वान्यामा
kk,कज़ाख़
kl,ग्रीनलैंडिक
km,खमेर
kn,कन्नड़
ko,कोरियाई
kr,कनुरी
ks,कश्मीरी
ku,कुर्दिश
kv,कोमी
kw,कोर्निश
ky,किर्गीज़
la,लैटिन
lb,लग्ज़मबर्गी
lg,गांडा
li,लिंबर्गिश
ln,लिंगाला
lo,लाओ
lt,लिथुआनियाई
lu,ल्यूबा-कटांगा
lv,लातवियाई
mg,मालागासी
mh,मार्शलीज़
mi,माओरी
mk,मैसिडोनियाई
ml,मलयालम
mn,मंगोलीयाई
mr,मराठी
ms,मलय
mt,माल्टीज़
my,बर्मीज़
na,नाउरू
nb,"नॉर्वेजियाई बोकमाल"
nd,"उत्तरी देबेल"
ne,नेपाली
ng,डोन्गा
nl,डच
nl_BE,फ़्लेमिश
nn,"नॉर्वेजियाई नॉयनॉर्स्क"
no,नॉर्वेजियाई
nr,"दक्षिण देबेल"
nv,नावाजो
ny,न्यानजा
oc,ओसीटान
oj,ओजिब्वा
om,ओरोमो
or,उड़िया
os,ओस्सेटिक
pa,पंजाबी
pi,पाली
pl,पोलिश
ps,पुश्तो
pt,पुर्तगाली
pt_BR,"ब्राज़ीली पुर्तगाली"
pt_PT,"यूरोपीय पुर्तगाली"
qu,क्वेचुआ
rm,रोमान्श
rn,रुन्दी
ro,रोमानियाई
ro_MD,मोलडावियन
ru,रूसी
rw,किन्यारवांडा
sa,संस्कृत
sc,सार्दिनियन
sd,सिंधी
se,"नॉर्दन सामी"
sg,सांगो
sh,सेर्बो-क्रोएशन्
si,सिंहली
sk,स्लोवाक
sl,स्लोवेनियाई
sm,सामोन
sn,शोणा
so,सोमाली
sq,अल्बानियाई
sr,सर्बियाई
ss,स्वाती
st,सेसोथो
su,सुंडानी
sv,स्वीडिश
sw,स्वाहिली
ta,तमिल
te,तेलुगू
tg,ताजिक
th,थाई
ti,तिग्रीन्या
tk,तुर्कमेन
tl,तागालोग
tn,सेत्स्वाना
to,टोंगन
tr,तुर्की
ts,सोंगा
tt,तातार
tw,ट्वी
ty,ताहितियन
ug,विघुर
uk,यूक्रेनियाई
ur,उर्दू
uz,उज़्बेक
ve,वेन्दा
vi,वियतनामी
vo,वोलापुक
wa,वाल्लून
wo,वोलोफ़
xh,ख़ोसा
yi,येहुदी
yo,योरूबा
za,ज़ुआंग
zh,चीनी
zu,ज़ुलू
