iso,name
1,Svijet
2,Afrika
3,"Sjevernoamerički kontinent"
5,"Južna Amerika"
9,Oceanija
11,"Zapadna Afrika"
13,"Centralna Amerika"
14,"Istočna Afrika"
15,"Sjeverna Afrika"
17,"Središnja Afrika"
18,"Južna Afrika"
19,Amerike
21,"Sjeverna Amerika"
29,Karibi
30,"Istočna Azija"
34,"Južna Azija"
35,"Jugoistočna Azija"
39,"Južna Europa"
53,Australazija
54,Melanezija
57,"Mikronezijsko područje"
61,Polinezija
142,Azija
143,"Srednja Azija"
145,"Zapadna Azija"
150,Europa
151,"Istočna Europa"
154,"Sjeverna Europa"
155,"Zapadna Europa"
419,"Latinska Amerika"
