iso,name
aa,afarski
ab,abhaski
ae,avestan
af,afrikaans
ak,akanski
am,amharski
an,aragonski
ar,arapski
as,asamski
av,avarski
ay,aymara
az,azerski
ba,baškirski
be,bjeloruski
bg,bugarski
bi,bislama
bm,bambara
bn,bengalski
bo,tibetanski
br,bretonski
bs,bosanski
ca,katalonski
ce,čečenski
ch,chamorro
co,korzički
cr,cree
cs,češki
cu,crkvenoslavenski
cv,chuvash
cy,velški
da,danski
de,njemački
de_AT,"austrijski njemački"
de_CH,"gornjonjemački (švicarski)"
dv,divehi
dz,dzongkha
ee,ewe
el,grčki
en,engleski
en_AU,"australski engleski"
en_CA,"kanadski engleski"
en_GB,"engleski (UK)"
en_US,"engleski (SAD)"
eo,esperanto
es,španjolski
es_ES,"europski španjolski"
es_MX,"meksički španjolski"
et,estonski
eu,baskijski
fa,perzijski
ff,fulah
fi,finski
fj,fidžijski
fo,ferojski
fr,francuski
fr_CA,"kanadski francuski"
fr_CH,"švicarski francuski"
fy,zapadnofrizijski
ga,irski
gd,škotski-galski
gl,galicijski
gn,guarani
gu,gudžaratski
gv,manski
ha,hausa
he,hebrejski
hi,hindski
ho,"hiri motu"
hr,hrvatski
ht,kreolski
hu,mađarski
hy,armenski
hz,herero
ia,interlingua
id,indonezijski
ie,interligua
ig,igbo
ii,"sichuan yi"
ik,inupiaq
io,ido
is,islandski
it,talijanski
iu,inuktitut
ja,japanski
jv,javanski
ka,gruzijski
kg,kongo
ki,kikuyu
kj,kuanyama
kk,kazaški
kl,kalaallisut
km,kmerski
kn,kannadski
ko,korejski
kr,kanuri
ks,kašmirski
ku,kurdski
kv,komi
kw,kornski
ky,kirgiški
la,latinski
lb,luksemburški
lg,ganda
li,limburgish
ln,lingala
lo,laoski
lt,litavski
lu,luba-katanga
lv,latvijski
mg,malgaški
mh,maršalski
mi,maorski
mk,makedonski
ml,malajalamski
mn,mongolski
mr,marathski
ms,malajski
mt,malteški
my,burmanski
na,nauru
nb,"književni norveški"
nd,"sjeverni ndebele"
ne,nepalski
ng,ndonga
nl,nizozemski
nl_BE,flamanski
nn,novonorveški
no,norveški
nr,"južni ndebele"
nv,navajo
ny,nyanja
oc,okcitanski
oj,ojibwa
om,oromski
or,orijski
os,osetski
pa,pandžapski
pi,pali
pl,poljski
ps,puštu
pt,portugalski
pt_BR,"brazilski portugalski"
pt_PT,"europski portugalski"
qu,kečua
rm,romanš
rn,rundi
ro,rumunjski
ro_MD,moldavski
ru,ruski
rw,kinyarwanda
sa,sanskrtski
sc,sardski
sd,sindhi
se,"južni sami"
sg,sango
sh,srpsko-hrvatski
si,sinhaleški
sk,slovački
sl,slovenski
sm,samoanski
sn,shona
so,somalski
sq,albanski
sr,srpski
ss,svati
st,sesotski
su,sundanski
sv,švedski
sw,svahili
ta,tamilski
te,telugu
tg,tadžički
th,tajlandski
ti,tigrinja
tk,turkmenski
tl,tagalog
tn,cvana
to,tonganski
tr,turski
ts,tsonga
tt,tatarski
tw,twi
ty,tahićanski
ug,ujgurski
uk,ukrajinski
ur,urdski
uz,uzbečki
ve,venda
vi,vijetnamski
vo,volapük
wa,valonski
wo,wolof
xh,xhosa
yi,jidiš
yo,joruba
za,zhuang
zh,kineski
zu,zulu
