iso,name
aa,afar
ab,abház
ae,avesztán
af,afrikaans
ak,akan
am,amhara
an,aragonéz
ar,arab
as,asszámi
av,avar
ay,ajmara
az,azeri
ba,baskír
be,belorusz
bg,bolgár
bi,bislama
bm,bambara
bn,bengáli
bo,tibeti
br,breton
bs,bosnyák
ca,katalán
ce,csecsen
ch,csamoró
co,korzikai
cr,krí
cs,cseh
cu,"egyházi szláv"
cv,csuvas
cy,walesi
da,dán
de,német
de_AT,"osztrák német"
de_CH,"svájci felnémet"
dv,divehi
dz,butáni
ee,eve
el,görög
en,angol
en_AU,"ausztrál angol"
en_CA,"kanadai angol"
en_GB,"angol (UK)"
en_US,"angol (USA)"
eo,eszperantó
es,spanyol
es_ES,"európai spanyol"
es_MX,"spanyol (mexikói)"
et,észt
eu,baszk
fa,perzsa
ff,fulani
fi,finn
fj,fidzsi
fo,feröeri
fr,francia
fr_CA,"kanadai francia"
fr_CH,"svájci francia"
fy,fríz
ga,ír
gd,"skót gael"
gl,galíciai
gn,guarani
gu,gudzsarati
gv,man-szigeti
ha,hausza
he,héber
hi,hindi
ho,"hiri motu"
hr,horvát
ht,haiti
hu,magyar
hy,örmény
hz,herero
ia,interlingva
id,indonéz
ie,interlingue
ig,igbó
ii,"szecsuán ji"
ik,inupiak
io,idó
is,izlandi
it,olasz
iu,inuktitut
ja,japán
jv,jávai
ka,grúz
kg,kongo
ki,kikuju
kj,kuanyama
kk,kazah
kl,grönlandi
km,kambodzsai
kn,kannada
ko,koreai
kr,kanuri
ks,kásmíri
ku,kurd
kv,komi
kw,korni
ky,kirgiz
la,latin
lb,luxemburgi
lg,ganda
li,limburgi
ln,lingala
lo,laoszi
lt,litván
lu,luba-katanga
lv,lett
mg,málgas
mh,marshalli
mi,maori
mk,macedón
ml,malajálam
mn,mongol
mr,marathi
ms,maláj
mt,máltai
my,burmai
na,naurui
nb,"norvég bokmal"
nd,"északi ndebele"
ne,nepáli
ng,ndonga
nl,holland
nl_BE,flamand
nn,"norvég nynorsk"
no,norvég
nr,"déli ndebele"
nv,navahó
ny,nyanja
oc,okszitán
oj,ojibva
om,oromói
or,orija
os,oszét
pa,pandzsábi
pi,pali
pl,lengyel
ps,pastu
pt,portugál
pt_BR,"brazíliai portugál"
pt_PT,"európai portugál"
qu,kecsua
rm,réto-román
rn,kirundi
ro,román
ro_MD,moldvai
ru,orosz
rw,kiruanda
sa,szanszkrit
sc,szardíniai
sd,szindhi
se,"északi számi"
sg,szangó
sh,szerbhorvát
si,szingaléz
sk,szlovák
sl,szlovén
sm,szamoai
sn,sona
so,szomáliai
sq,albán
sr,szerb
ss,sziszuati
st,szeszotó
su,szundanéz
sv,svéd
sw,szuahéli
ta,tamil
te,telugu
tg,tadzsik
th,thai
ti,tigrinja
tk,türkmén
tl,tagalog
tn,szecsuáni
to,tonga
tr,török
ts,conga
tt,tatár
tw,twi
ty,tahiti
ug,ujgur
uk,ukrán
ur,urdu
uz,üzbég
ve,venda
vi,vietnami
vo,volapük
wa,vallon
wo,volof
xh,hosza
yi,jiddis
yo,joruba
za,zsuang
zh,kínai
zu,zulu
