iso,name
ab,աբխազերեն
af,աֆրիկաանս
ak,աքաներեն
am,ամհարերեն
ar,արաբերեն
as,ասամերեն
az,ադրբեջաներեն
ba,բաշկիրերեն
be,բելառուսերեն
bg,բուլղարերեն
bm,բամբարա
bn,բենգալերեն
bo,տիբեթերեն
br,բրետոներեն
bs,բոսնիերեն
ca,կատալաներեն
co,կորսիկերեն
cs,չեխերեն
cy,ուելսերեն
da,դանիերեն
de,գերմաներեն
de_AT,"ավստրիական գերմաներեն"
de_CH,"շվեյցարական բարձր գերմաներեն"
dz,ջոնգքհա
ee,էվե
el,հունարեն
en,անգլերեն
en_AU,"ավստրալական անգլերեն"
en_CA,"կանադական անգլերեն"
en_GB,"անգլերեն (ՄԹ)"
en_US,"անգլերեն (ԱՄՆ)"
eo,էսպերանտո
es,իսպաներեն
es_ES,"եվրոպական իսպաներեն"
es_MX,"մեքսիկական իսպաներեն"
et,էստոներեն
eu,բասկերեն
fa,պարսկերեն
fi,ֆիններեն
fj,ֆիջիերեն
fo,ֆարյորերեն
fr,ֆրանսերեն
fr_CA,"կանադական ֆրանսերեն"
fr_CH,"շվեյցարական ֆրանսերեն"
fy,"արևմտյան ֆրիզերեն"
ga,իռլանդերեն
gd,"Գաելյան Շոտլանդերեն"
gl,գալիսերեն
gn,գուարանի
gu,գուջարաթի
gv,մեներեն
ha,հաուսա
he,եբրայերեն
hi,հինդի
hr,խորվաթերեն
ht,հաիթերեն
hu,հունգարերեն
hy,հայերեն
ia,Ինտերլինգուա
id,ինդոնեզերեն
ie,Ինտերլինգ
ig,իգբո
ii,"սիխուան յի"
is,իսլանդերեն
it,իտալերեն
iu,ինուկտիտուտ
ja,ճապոներեն
jv,ճավայերեն
ka,վրացերեն
ki,կիկույու
kk,ղազախերեն
kl,կալաալիսուտ
km,քմերերեն
kn,կաննադա
ko,կորեերեն
ks,քաշմիրերեն
ku,քրդերեն
kw,կոռներեն
ky,ղրղզերեն
la,լատիներեն
lb,լյուքսեմբուրգերեն
lg,գանդա
ln,լինգալա
lo,լաոսերեն
lt,լիտվերեն
lu,լուբա-կատանգա
lv,լատվիերեն
mg,մալագասերեն
mi,մաորի
mk,մակեդոներեն
ml,մալայալամ
mn,մոնղոլերեն
mr,մարաթի
ms,մալայերեն
mt,մալթերեն
my,բիրմայերեն
nb,"նորվեգերեն բուկմոլ"
nd,"հյուսիսային նդեբելե"
ne,նեպալերեն
nl,հոլանդերեն
nl_BE,ֆլամանդերեն
nn,"նորվեգերեն նյունորսկ"
no,Նորվեգերեն
oc,Ակվիտաներեն
om,օրոմո
or,օրիյա
pa,փենջաբերեն
pl,լեհերեն
ps,փուշթու
pt,պորտուգալերեն
pt_BR,"բրազիլական պորտուգալերեն"
pt_PT,"եվրոպական պորտուգալերեն"
qu,քեչուա
rm,ռոմանշերեն
rn,ռունդի
ro,ռումիներեն
ro_MD,մոլդովերեն
ru,ռուսերեն
rw,քինյարվանդա
sa,սանսկրիտ
sd,սինդհի
se,"հյուսիսային սամի"
sg,սանգո
sh,Սերբա-Խորվաթերեն
si,սինհալերեն
sk,սլովակերեն
sl,սլովեներեն
sn,շոնա
so,սոմալիերեն
sq,ալբաներեն
sr,սերբերեն
st,Սեսոտո
su,սունդաներեն
sv,շվեդերեն
sw,սուահիլի
ta,թամիլերեն
te,թելուգու
tg,տաջիկերեն
th,թայերեն
ti,թիգրինիա
tk,թուրքմեներեն
to,տոնգա
tr,թուրքերեն
tt,թաթարերեն
tw,Տուի
ug,ույղուրերեն
uk,ուկրաիներեն
ur,ուրդու
uz,ուզբեկերեն
vi,վիետնամերեն
wo,վոլոֆ
xh,քսոզա
yi,Իդիշ
yo,յորուբա
zh,չինարեն
zu,զուլուսերեն
