iso,name
0,Աշխարհ
1,Աֆրիկա
2,"Հյուսիսային Ամերիկա"
3,"Հարավային Ամերիկա"
4,Օվկիանիա
5,"Արևմտյան Աֆրիկա"
6,"Կենտրոնական Ամերիկա"
7,"Արևելյան Աֆրիկա"
8,"Հյուսիսային Աֆրիկա"
9,"Կենտրոնական Աֆրիկա"
10,"Հարավային Աֆրիկա"
11,Ամերիկա
12,"Հյուսիսային Ամերիկա - Մեքսիկայից հյուսիս"
13,"Կարիբյան կղզիներ"
14,"Արևելյան Ասիա"
15,"Հարավային Ասիա"
16,"Հարավ-Արևելյան Ասիա"
17,"Հարավային Եվրոպա"
18,Ավստրալասիա
19,Մալանեզիա
20,"Միկրոնեզիայի տարածաշրջան"
21,Պոլինեզիա
22,Ասիա
23,"Կենտրոնական Ասիա"
24,"Արևմտյան Ասիա"
25,Եվրոպա
26,"Արևելյան Եվրոպա"
27,"Հյուսիսային Եվրոպա"
28,"Արևմտյան Եվրոպա"
29,"Լատինական Ամերիկա"
AC,"Համբարձման կղզի"
AD,Անդորա
AE,"Միացյալ Արաբական Էմիրություններ"
AF,Աֆղանստան
AG,"Անտիգուա և Բարբուդա"
AI,Անգիլիա
AL,Ալբանիա
AM,Հայաստան
AO,Անգոլա
AQ,Անտարկտիդա
AR,Արգենտինա
AS,"Ամերիկյան Սամոա"
AT,Ավստրիա
AU,Ավստրալիա
AW,Արուբա
AX,"Ալանդյան կղզիներ"
AZ,Ադրբեջան
BA,"Բոսնիա և Հերցեգովինա"
BB,Բարբադոս
BD,Բանգլադեշ
BE,Բելգիա
BF,"Բուրկինա Ֆասո"
BG,Բուլղարիա
BH,Բահրեյն
BI,Բուրունդի
BJ,Բենին
BL,"Սուրբ Բարթողոմեոսի կղզի"
BM,"Բերմուդյան կղզիներ"
BN,Բրունեյ
BO,Բոլիվիա
BQ,"Կարիբյան Նիդերլանդներ"
BR,Բրազիլիա
BS,"Բահամյան կղզիներ"
BT,Բութան
BV,"Բուվե կղզի"
BW,Բոտսվանա
BY,Բելառուս
BZ,Բելիզ
CA,Կանադա
CC,"Կոկոսյան (Քիլինգ) կղզիներ"
CD,"Կոնգո (Կոնգոյի Ժողովրդավարական Հանրապետություն)"
CF,"Կենտրոնական Աֆրիկյան Հանրապետություն"
CG,"Կոնգո (Կոնգոյի Հանրապետություն)"
CH,Շվեյցարիա
CI,"Կոտ դ’Իվուար"
CK,"Կուկի կղզիներ"
CL,Չիլի
CM,Կամերուն
CN,Չինաստան
CO,Կոլումբիա
CP,"Քլիփերթոն կղզի"
CR,Կոստա-Ռիկա
CU,Կուբա
CV,"Կաբո Վերդե"
CW,Կյուրասաո
CX,"Ծննդյան կղզի"
CY,Կիպրոս
CZ,Չեխիա
DE,Գերմանիա
DG,"Դիեգո Գարսիա"
DJ,Ջիբուտի
DK,Դանիա
DM,Դոմինիկա
DO,"Դոմինիկյան Հանրապետություն"
DZ,Ալժիր
EA,"Սեուտա և Մելիլյա"
EC,Էկվադոր
EE,Էստոնիա
EG,Եգիպտոս
EH,"Արևմտյան Սահարա"
ER,Էրիտրեա
ES,Իսպանիա
ET,Եթովպիա
EU,"Եվրոպական Միություն"
FI,Ֆինլանդիա
FJ,Ֆիջի
FK,"Ֆոլկլենդյան (Մալվինյան) կղզիներ"
FM,Միկրոնեզիա
FO,"Ֆարերյան կղզիներ"
FR,Ֆրանսիա
GA,Գաբոն
GB,"Միացյալ Թագավորություն"
GD,Գրենադա
GE,Վրաստան
GF,"Ֆրանսիական Գվիանա"
GG,Գերնսի
GH,Գանա
GI,Ջիբրալթար
GL,Գրենլանդիա
GM,Գամբիա
GN,Գվինեա
GP,Գվադելուպա
GQ,"Հասարակածային Գվինեա"
GR,Հունաստան
GS,"Հարավային Ջորջիա և Հարավային Սենդվիչյան կղզիներ"
GT,Գվատեմալա
GU,Գուամ
GW,Գվինեա-Բիսաու
GY,Գայանա
HK,Հոնկոնգ
HM,"Հերդ կղզի և ՄակԴոնալդի կղզիներ"
HN,Հոնդուրաս
HR,Խորվաթիա
HT,Հաիթի
HU,Հունգարիա
IC,"Կանարյան կղզիներ"
ID,Ինդոնեզիա
IE,Իռլանդիա
IL,Իսրայել
IM,"Մեն կղզի"
IN,Հնդկաստան
IO,"Հնդկական Օվկիանոսում Բրիտանական Տարածք"
IQ,Իրաք
IR,Իրան
IS,Իսլանդիա
IT,Իտալիա
JE,Ջերսի
JM,Ջամայկա
JO,Հորդանան
JP,Ճապոնիա
KE,Քենիա
KG,Ղրղզստան
KH,Կամբոջա
KI,Կիրիբատի
KM,"Կոմորյան կղզիներ"
KN,"Սենթ Քիթս և Նևիս"
KP,"Հյուսիսային Կորեա"
KR,"Հարավային Կորեա"
KW,Քուվեյթ
KY,"Կայմանյան կղզիներ"
KZ,Ղազախստան
LA,Լաոս
LB,Լիբանան
LC,"Սենթ Լյուսիա"
LI,Լիխտենշտեյն
LK,"Շրի Լանկա"
LR,Լիբերիա
LS,Լեսոտո
LT,Լիտվա
LU,Լյուքսեմբուրգ
LV,Լատվիա
LY,Լիբիա
MA,Մարոկո
MC,Մոնակո
MD,Մոլդովա
ME,Չեռնոգորիա
MF,"Սեն Մարտեն"
MG,Մադագասկար
MH,"Մարշալյան կղզիներ"
MK,"Մակեդոնիա (ՄՆՀՀ)"
ML,Մալի
MM,"Մյանմա (Բիրմա)"
MN,Մոնղոլիա
MO,Մակաո
MP,"Հյուսիսային Մարիանյան կղզիներ"
MQ,Մարտինիկա
MR,Մավրիտանիա
MS,Մոնտսերատ
MT,Մալթա
MU,Մավրիկիոս
MV,Մալդիվներ
MW,Մալավի
MX,Մեքսիկա
MY,Մալայզիա
MZ,Մոզամբիկ
NA,Նամիբիա
NC,"Նոր Կալեդոնիա"
NE,Նիգեր
NF,"Նորֆոլկ կղզի"
NG,Նիգերիա
NI,Նիկարագուա
NL,Նիդերլանդեր
NO,Նորվեգիա
NP,Նեպալ
NR,Նաուրու
NU,Նիուե
NZ,"Նոր Զելանդիա"
OM,Օման
PA,Պանամա
PE,Պերու
PF,"Ֆրանսիական Պոլինեզիա"
PG,"Պապուա Նոր Գվինեա"
PH,Ֆիլիպիններ
PK,Պակիստան
PL,Լեհաստան
PM,"Սեն Պիեր և Միկելոն"
PN,"Պիտկեռն կղզիներ"
PR,"Պուերտո Ռիկո"
PS,Պաղեստին
PT,Պորտուգալիա
PW,Պալաու
PY,Պարագվայ
QA,Կատար
QO,"Արտաքին Օվկիանիա"
RE,Ռեյունիոն
RO,Ռումինիա
RS,Սերբիա
RU,Ռուսաստան
RW,Ռուանդա
SA,"Սաուդյան Արաբիա"
SB,"Սողոմոնյան կղզիներ"
SC,"Սեյշելյան կղզիներ"
SD,Սուդան
SE,Շվեդիա
SG,Սինգապուր
SH,"Սուրբ Հեղինեի կղզի"
SI,Սլովենիա
SJ,"Սվալբարդ և Յան-Մայեն"
SK,Սլովակիա
SL,Սյերա-Լեոնե
SM,"Սան Մարինո"
SN,Սենեգալ
SO,Սոմալի
SR,Սուրինամ
SS,"Հարավային Սուդան"
ST,"Սան Տոմե և Պրինսիպի"
SV,Սալվադոր
SX,"Սինտ Մարտեն"
SY,Սիրիա
SZ,Սվազիլենդ
TA,"Տրիստան դա Կունյա"
TC,"Տերկս և Կայկոս կղզիներ"
TD,Չադ
TF,"Ֆրանսիական Հարավային Տարածքներ"
TG,Տոգո
TH,Թաիլանդ
TJ,Տաջիկստան
TK,Տոկելաու
TL,"Արևելյան Թիմոր"
TM,Թուրքմենստան
TN,Թունիս
TO,Տոնգա
TR,Թուրքիա
TT,"Տրինիդադ և Տոբագո"
TV,Տուվալու
TW,Թայվան
TZ,Տանզանիա
UA,Ուկրաինա
UG,Ուգանդա
UM,"Արտաքին կղզիներ (ԱՄՆ)"
US,ԱՄՆ
UY,Ուրուգվայ
UZ,Ուզբեկստան
VA,"Վատիկան քաղաք-պետություն"
VC,"Սենթ Վիսենտ և Գրենադիններ"
VE,Վենեսուելա
VG,"Բրիտանական Վիրջինյան կղզիներ"
VI,"Ամերիկյան Վիրջինյան կղզիներ"
VN,Վիետնամ
VU,Վանուատու
WF,"Ուոլիս և Ֆուտունա"
WS,Սամոա
XK,Կոսովո
YE,Եմեն
YT,Մայոտ
ZA,"Հարավաֆրիկյան Հանրապետություն"
ZM,Զամբիա
ZW,Զիմբաբվե
ZZ,"Անհայտ տարածաշրջան"
