iso,name
1,Dunia
2,Afrika
3,"Amerika Utara"
5,"Amerika Selatan"
9,Oseania
11,"Afrika Barat"
13,"Amerika Tengah"
14,"Afrika Timur"
15,"Afrika Utara"
17,"Afrika Tengah"
18,"Afrika Bagian Selatan"
19,Amerika
21,"Amerika Bagian Utara"
29,"Kepulauan Karibia"
30,"Asia Timur"
34,"Asia Selatan"
35,"Asia Tenggara"
39,"Eropa Selatan"
53,Australasia
54,Melanesia
57,"Wilayah Mikronesia"
61,Polinesia
142,Asia
143,"Asia Tengah"
145,"Asia Barat"
150,Eropa
151,"Eropa Timur"
154,"Eropa Utara"
155,"Eropa Barat"
419,"Amerika Latin"
