iso,name
aa,afár
ab,abkasíska
ae,avestíska
af,afríkanska
ak,akan
am,amharíska
an,aragonska
ar,arabíska
as,assamska
av,avaríska
ay,aímara
az,aserska
ba,baskír
be,hvítrússneska
bg,búlgarska
bi,bíslama
bm,bambara
bn,bengalska
bo,tíbeska
br,bretónska
bs,bosníska
ca,katalónska
ce,tsjetsjenska
ch,kamorró
co,korsíska
cr,krí
cs,tékkneska
cu,kirkjuslavneska
cv,sjúvas
cy,velska
da,danska
de,þýska
de_AT,"austurrísk þýska"
de_CH,"svissnesk háþýska"
dv,dívehí
dz,dsongka
ee,ewe
el,gríska
en,enska
en_AU,"áströlsk enska"
en_CA,"kanadísk enska"
en_GB,"bresk enska"
en_US,"bandarísk enska"
eo,esperantó
es,spænska
es_ES,"evrópsk spænska"
es_MX,"mexíkósk spænska"
et,eistneska
eu,baskneska
fa,persneska
ff,fúla
fi,finnska
fj,fídjeyska
fo,færeyska
fr,franska
fr_CA,"kanadísk franska"
fr_CH,"svissnesk franska"
fy,vesturfrísneska
ga,írska
gd,"skosk gelíska"
gl,galíanska
gn,gvaraní
gu,gújaratí
gv,manska
ha,hása
he,hebreska
hi,hindí
ho,hírímótú
hr,króatíska
ht,haítíska
hu,ungverska
hy,armenska
hz,hereró
ia,alþjóðatunga
id,indónesíska
ie,interlingve
ig,ígbó
ii,sísúanjí
ik,ínúpíak
io,ídó
is,íslenska
it,ítalska
iu,inúktitút
ja,japanska
jv,javanska
ka,georgíska
kg,kongóska
ki,kíkújú
kj,kúanjama
kk,kasakska
kl,grænlenska
km,kmer
kn,kannada
ko,kóreska
kr,kanúrí
ks,kasmírska
ku,kúrdíska
kv,komíska
kw,kornbreska
ky,kirgiska
la,latína
lb,lúxemborgíska
lg,ganda
li,limbúrgíska
ln,lingala
lo,laó
lt,litháíska
lu,lúbakatanga
lv,lettneska
mg,malagasíska
mh,marshallska
mi,maorí
mk,makedónska
ml,malajalam
mn,mongólska
mr,maratí
ms,malaíska
mt,maltneska
my,burmneska
na,nárúska
nb,"norskt bókmál"
nd,norður-ndebele
ne,nepalska
ng,ndonga
nl,hollenska
nl_BE,flæmska
nn,nýnorska
no,norska
nr,suðurndebele
nv,navahó
ny,"njanja; sísjeva; sjeva"
oc,oksítaníska
oj,ojibva
om,oromo
or,óría
os,ossetíska
pa,púnjabí
pi,palí
pl,pólska
ps,pastú
pt,portúgalska
pt_BR,"brasílísk portúgalska"
pt_PT,"evrópsk portúgalska"
qu,kvesjúa
rm,rómanska
rn,rúndí
ro,rúmenska
ro_MD,moldóvska
ru,rússneska
rw,kínjarvanda
sa,sanskrít
sc,sardínska
sd,sindí
se,norðursamíska
sg,sangó
sh,serbókróatíska
si,singalíska
sk,slóvakíska
sl,slóvenska
sm,samóska
sn,shona
so,sómalska
sq,albanska
sr,serbneska
ss,svatí
st,suðursótó
su,súndanska
sv,sænska
sw,svahílí
ta,tamílska
te,telúgú
tg,tadsjikska
th,taílenska
ti,tígrinja
tk,túrkmenska
tl,tagalog
tn,tsúana
to,tongverska
tr,tyrkneska
ts,tsonga
tt,tatarska
tw,tví
ty,tahítíska
ug,úígúr
uk,úkraínska
ur,úrdú
uz,úsbekska
ve,venda
vi,víetnamska
vo,volapyk
wa,vallónska
wo,volof
xh,sósa
yi,jiddíska
yo,jórúba
za,súang
zh,kínverska
zu,súlú
