iso,name
ab,"абхаз тілі"
af,африкаанс
ak,акан
am,амхар
ar,"араб тілі"
as,"ассам тілі"
ay,Аймара
az,"әзірбайжан тілі"
ba,"башқұрт тілі"
be,"беларус тілі"
bg,"болгар тілі"
bm,бамбара
bn,"бенгал тілі"
bo,"тибет тілі"
br,"бретон тілі"
bs,"босния тілі"
ca,каталан
co,"корсикан тілі"
cs,"чех тілі"
cy,валлий
da,дат
de,"неміс тілі"
dv,Мальдив
dz,дзонг-кэ
ee,эве
el,"грек тілі"
en,"ағылшын тілі"
eo,эсперанто
es,"испан тілі"
et,"эстон тілі"
eu,баск
fa,"парсы тілі"
fi,фин
fj,фиджи
fo,фарер
fr,"француз тілі"
fy,"батыс фриз"
ga,"ирланд тілі"
gd,"Солтүстік Шотландия"
gl,гали
gn,гуарани
gu,гуджарати
gv,мэнс
ha,хауса
he,иврит
hi,хинди
hr,хорват
ht,гаитян
hu,венгер
hy,"армян тілі"
ia,интерлингва
id,"индонез тілі"
ie,интерлингве
ig,игбо
ii,"сычуан и тілі"
is,исланд
it,"итальян тілі"
iu,инуктитут
ja,"жапон тілі"
jv,ява
ka,"грузин тілі"
ki,кикуйю
kk,"қазақ тілі"
kl,калаалисут
km,кхмер
kn,каннада
ko,"кәріс тілі"
ks,"кашмир тілі"
ku,"күрд тілі"
kw,корниш
ky,"қырғыз тілі"
la,латын
lb,люксембург
lg,ганда
ln,лингала
lo,"лаос тілі"
lt,"литва тілі"
lu,луба-катанга
lv,"латыш тілі"
mg,малагаси
mi,маори
mk,"македон тілі"
ml,малайялам
mn,"моңғол тілі"
mr,маратхи
ms,малай
mt,мальта
my,бирман
nb,"норвегиялық букмол"
nd,"солтүстік ндебел"
ne,непал
nl,"нидерланд тілі"
nn,"норвегиялық нинорск"
no,норвег
ny,ньянджа
oc,окситан
om,оромо
or,ория
os,осетин
pa,пенджаб
pl,"поляк тілі"
ps,пушту
pt,"португал тілі"
qu,кечуа
rm,романш
rn,рунди
ro,румын
ru,"орыс тілі"
rw,киньяруанда
sa,санскрит
sd,синдхи
se,"солтүстік сами"
sg,санго
sh,сербхорват
si,сингал
sk,словак
sl,словен
sn,шона
so,сомали
sq,албан
sr,"серб тілі"
st,сесото
su,судан
sv,швед
sw,суахили
ta,тамил
te,телугу
tg,"тәжік тілі"
th,тай
ti,тигринья
tk,түрікмен
to,тонган
tr,түрік
tt,"татар тілі"
tw,тви
ug,"ұйғыр тілі"
uk,"украин тілі"
ur,урду
uz,өзбек
vi,вьетнам
wo,волоф
xh,ксоза
yi,идиш
yo,йоруба
zh,"қытай тілі"
zu,зулу
