iso,name
ab,абхазча
af,африкаанча
ak,аканча
am,амхарча
ar,арабча
as,ассамча
az,азербайжанча
ba,башкырча
be,беларусча
bg,болгарча
bm,бамбарада
bn,бангладешче
bo,тибетче
br,бретончо
bs,боснийче
ca,каталанча
co,корсиканча
cs,чехче
cy,уелшче
da,датча
de,немисче
de_CH,"жогорку немисче (Швейцария)"
dz,жонгуча
ee,эбече
el,грекче
en,англисче
en_GB,"англисче (УБ)"
en_US,"англисче (АКШ)"
eo,эсперанто
es,испанча
es_ES,"испанча (Европа)"
et,эстончо
eu,баскча
fa,фарсыча
fi,финче
fj,фижиче
fo,фароэче
fr,французча
fy,"батыш фризче"
ga,ирландча
gl,галисияча
gn,гуараш
gu,гужаратча
gv,манксыча
ha,хаусача
he,ивритте
hi,хиндиче
hr,хорватча
ht,гаитиче
hu,мажарча
hy,армянча
id,индонезче
ig,игбочо
ii,носуча
is,исландча
it,италиянча
iu,инуктитутта
ja,япончо
jv,жаванизче
ka,грузинче
ki,кикуйиче
kk,казакча
kl,калаалисутча
km,кмерче
kn,каннадача
ko,корейче
ks,кашмирче
ku,курдча
kw,корнишче
ky,кыргызча
la,латынча
lb,люксембургча
lg,гандача
ln,лингалача
lo,лаочо
lt,литовчо
lu,луба-катангача
lv,латышча
mg,малагасча
mi,маориче
mk,македончо
ml,малайаламча
mn,моңголчо
mr,маратиче
ms,малайча
mt,малтизче
my,бурмача
nb,"норвежче (Букмал)"
nd,"түндүк ндыбелче"
ne,непалча
nl,голландча
nl_BE,фламандча
nn,"норвежче (Нинорск)"
no,норвежче
om,оромочо
or,орияча
pa,пунжабиче
pl,полякча
ps,пашточо
pt,португалча
pt_PT,"португалча (Европа)"
qu,кечуача
rm,романшча
rn,рундиче
ro,румынча
ro_MD,молдованча
ru,орусча
rw,руандача
sa,санскритче
sd,синдхиче
se,"түндүк самиче"
sg,сангочо
sh,серб-хорват
si,сингалача
sk,словакча
sl,словенче
sn,шонача
so,сомаличе
sq,албанча
sr,сербче
st,сесото
su,сунданча
sv,шведче
sw,суахиличе
ta,тамилче
te,телугуча
tg,тажикче
th,тайча
ti,тигриниача
tk,түркмөнчө
to,тонгача
tr,түркчө
tt,татарча
tw,тви
ug,уйгурча
uk,украинче
ur,урдуча
uz,өзбекче
vi,вьетнамча
wo,уолофчо
xh,косача
yi,идишче
yo,йорубача
zh,кытайча
zu,зулуча
