iso,name
aa,ອະຟາ
ab,ແອບຄາຊຽນ
ae,ອາເວັສແຕນ
af,ອາຟຣິການ
ak,ອາການ
am,ອຳຮາຣິກ
an,ອາຣາໂກເນັດ
ar,ອາຣັບ
as,ອັສຊາມີສ
av,ອາວາຣິກ
ay,ອາຍມາລາ
az,ອາ​ເຊີ​ຣີ
ba,ບາຣກີ
be,ເບລາຣັສຊຽນ
bg,ບັງກາຣຽນ
bi,ບິສລະມາ
bm,ບາມບາຣາ
bn,ເບັງກາລີ
bo,ທິເບທັນ
br,ເບຣຕັນ
bs,ບອສນຽນ
ca,ຄາຕາລານ
ce,ຊີເຄນ
ch,ຊາມໍໂຣ
co,ຄໍຊິກາ
cr,ຄີ
cs,ເຊກ
cu,ໂບດສລາວິກ
cv,ຊູວາຊ
cy,ເວວ
da,ແດນິຊ
de,ເຢຍລະມັນ
de_AT,"ອອສຕຣຽນ ເຈີແມນ"
de_CH,"ສະວິສ ໄຮ ເຈີແມນ"
dv,ດີວີຮີ
dz,ດີຊອງຄາ
ee,ອິວາ
el,ກຣີກ
en,ອັງກິດ
en_AU,"ອັງກິດ (ອອສເຕຣລຽນ)"
en_CA,"ອັງກິດ (ເຄເນດຽນ)"
en_GB,"ອັງກິດ (ສະຫະລາດຊະອານາຈັກ)"
en_US,"ອັງກິດ (ສະຫະລັດອາເມລິກາ)"
eo,ເອສເປີຣັນໂຕ
es,ສະແປນນິຊ
es_ES,"ຢູໂຣປຽນ ສະແປນນິຊ"
es_MX,"ເມັກຊິກັນ ສະແປນນິຊ"
et,ເອສໂຕນຽນ
eu,ບັສກີ
fa,ເປີຊຽນ
ff,ຟູລາ
fi,ຟິນນິຊ
fj,ຟິຈຽນ
fo,ຟາໂຣສ
fr,ຝຣັ່ງ
fr_CA,"ເຄເນດຽນ ຝຣັ່ງ"
fr_CH,"ສະວິສ ຝຣັ່ງ"
fy,"ເວສເທີນ ຟຣິຊຽນ"
ga,ໄອຣິສ
gd,ສະກັອດເກລິກ
gl,ກາລິຊຽນ
gn,ກົວຣານີ
gu,ກູຈາຣາຕິ
gv,ແມງຊ໌
ha,ເຮົາຊາ
he,ຮີບຣິວ
hi,ຮິນດິ
ho,ຮິຣິໂມຕູ
hr,ໂຄຣເອທຽນ
ht,ໄຮຕຽນ
hu,ຮັງກາຣຽນ
hy,ອາເມນຽນ
hz,ເຮິຮິໂຣ
ia,ອິນເຕີລິງລົວ
id,ອິນໂດເນຊຽນ
ie,ອິນເຕີລິງກຣີ
ig,ອິກໂບ
ii,ເຊສວຍຢີ
ik,ອິນນູປຽກ
io,ອີໂດ
is,ໄອສແລນດິກ
it,ອິຕາລຽນ
iu,ອິນນຸກຕິຕັດ
ja,ຍີ່ປຸ່ນ
jv,ຈາແວນີສ
ka,ຈໍຈຽນ
kg,ຄອງໂກ
ki,ຄິຄູຢຸ
kj,ກວນຍາມາ
kk,ຄາຊັກ
kl,ກຣີນແລນລິດ
km,ຂະເໝນ
kn,ຄັນນາດາ
ko,ເກົາຫລີ
kr,ຄານຸລິ
ks,ຄັດຊະມີຣີ
ku,ເຄີດິສ
kv,ໂຄມິ
kw,ຄໍນິຊ
ky,ເກຍກີສ
la,ລາຕິນ
lb,ລັກເຊມບວກກິຊ
lg,ແກນດາ
li,ລິມເບີກີຊ
ln,ລິງກາລາ
lo,ລາວ
lt,ລິທົວນຽນ
lu,ລູບາ-ຄາຕັງກາ
lv,ລັດວຽນ
mg,ມາລາກາສຊີ
mh,ມາຊານເລັດ
mi,ມາວຣິ
mk,ແມັກເຊໂດນຽນ
ml,ມາເລອາລຳ
mn,ມອງໂກເລຍ
mr,ມາຣາທີ
ms,ມາເລ
mt,ມອລທີສ
my,ມຽນມາ
na,ນາຢູລູ
nb,"ນໍເວຈຽນ ບັອກມອລ"
nd,ເອັນເດເບເລເໜືອ
ne,ເນປາລີ
ng,ເອັນດອງກາ
nl,ດັຊ
nl_BE,ຟລີມິຊ
nn,"ນໍເວຈຽນ ນີນອກ"
no,ນໍເວຍ
nr,ນີບີລີໃຕ້
nv,ນາວາໂຈ
ny,ນານຈາ
oc,ອັອກຊີຕານ
oj,ໂອຈິບວາ
om,ໂອໂຣໂມ
or,ໂອຣິຢາ
os,ອອດເຊຕິກ
pa,ປັນຈາບີ
pi,ປາລີ
pl,ໂປລິຊ
ps,ປາສໂຕ
pt,ປໍຕູກີສ
pt_BR,"ບຣາຊິລຽນ ປໍຕູກີສ"
pt_PT,"ຢູໂຣປຽນ ປໍຕູກີສ"
qu,ຄີຊົວ
rm,ໂຣແມນ
rn,ຣຸນດິ
ro,ໂຣແມນຽນ
ro_MD,ໂມດາວຽນ
ru,ຣັດຊຽນ
rw,ຄິນຢາວານດາ
sa,ສັນສະກຣິດ
sc,ສາດີນຽນ
sd,ສິນທິ
se,ຊາມິເໜືອ
sg,ແຊງໂກ
sh,ເຊີໂບ-ໂກເຊຍ
si,ສິນຫາລາ
sk,ສະໂລແວັກ
sl,ສະໂລເວນຽນ
sm,ຊາມົວ
sn,ໂຊນາ
so,ໂຊມາລີ
sq,ອານບານຽນ
sr,ເຊີບຽນ
ss,ຊຣາຕິ
st,ໂຊໂທໃຕ້
su,ຊຸນແດນນີສ
sv,ສະວີດິຊ
