iso,name
1,pasaule
2,Āfrika
3,Ziemeļamerika
5,Dienvidamerika
9,Okeānija
11,Rietumāfrika
13,Centrālamerika
14,Austrumāfrika
15,Ziemeļāfrika
17,Vidusāfrika
18,Dienvidāfrika
19,Amerika
21,"Amerikas ziemeļu daļa"
29,"Karību jūras reģions"
30,Austrumāzija
34,Dienvidāzija
35,Centrālaustrumāzija
39,Dienvideiropa
53,Austrālāzija
54,Melanēzija
57,"Mikronēzijas reģions"
61,Polinēzija
142,Āzija
143,Centrālāzija
145,Rietumāzija
150,Eiropa
151,Austrumeiropa
154,Ziemeļeiropa
155,Rietumeiropa
419,Latīņamerika
