iso,name
aa,അഫാർ
ab,അബ്‌ഖാസിയൻ
ae,അവസ്റ്റാൻ
af,ആഫ്രിക്കാൻസ്
ak,അകാൻ‌
am,അംഹാരിക്
an,അരഗോണീസ്
ar,അറബിക്
as,ആസ്സാമീസ്
av,അവാരിക്
ay,അയ്മാറ
az,അസേരി
ba,ബഷ്ഖിർ
be,ബെലാറുഷ്യൻ
bg,ബൾഗേറിയൻ
bi,ബിസ്‌ലാമ
bm,ബംബാറ
bn,ബംഗാളി
bo,ടിബറ്റൻ
br,ബ്രെട്ടൺ
bs,ബോസ്നിയൻ
ca,കറ്റാലാൻ
ce,ചെചൻ
ch,കമോറോ
co,കോർസിക്കൻ
cr,ക്രീ
cs,ചെക്ക്
cu,"ചർച്ച് സ്ലാവിക്"
cv,ചുവാഷ്
cy,വെൽഷ്
da,ഡാനിഷ്
de,ജർമ്മൻ
dv,ദിവെഹി
dz,സോങ്ക
ee,ഇവ്
el,ഗ്രീക്ക്
en,ഇംഗ്ലീഷ്
eo,എസ്‌പരാന്റോ
es,സ്‌പാനിഷ്
et,എസ്റ്റോണിയൻ
eu,ബാസ്‌ക്
fa,പേർഷ്യൻ
ff,ഫുല
fi,ഫിന്നിഷ്
fj,ഫിജിയൻ
fo,ഫാറോസ്
fr,ഫ്രഞ്ച്
fy,"പശ്ചിമ ഫ്രിഷിയൻ"
ga,ഐറിഷ്
gd,"സ്കോട്ടിഷ് ഗൈലിക്"
gl,ഗലീഷ്യൻ
gn,ഗ്വരനീ
gu,ഗുജറാത്തി
gv,മാൻസ്
ha,ഹൗസ
he,ഹീബ്രു
hi,ഹിന്ദി
ho,"ഹിരി മോതു"
hr,ക്രൊയേഷ്യൻ
ht,ഹെയ്‌തിയൻ
hu,ഹംഗേറിയൻ
hy,അർമേനിയൻ
hz,ഹെരേരൊ
ia,ഇന്റർലിൻ‌ഗ്വാ
id,ഇൻഡോനേഷ്യൻ
ie,ഇന്റർലിംഗ്വ
ig,ഇഗ്ബോ
ii,ഷുവാൻയി
ik,ഇനുപിയാക്
io,ഇഡോ
is,ഐസ്‌ലാൻഡിക്
it,ഇറ്റാലിയൻ
iu,ഇനുക്റ്റിറ്റട്ട്
ja,ജപ്പാനീസ്
jv,ജാവാനീസ്
ka,ജോർജിയൻ
kg,കോംഗോ
ki,കികൂയു
kj,ക്വാന്യമ
kk,കസാഖ്
kl,കലാല്ലിസട്ട്
km,ഖമെർ
kn,കന്നഡ
ko,കൊറിയൻ
kr,കനൂറി
ks,കാശ്‌മീരി
ku,കുർദ്ദിഷ്
kv,കോമി
kw,കോർണിഷ്
ky,കിർഗിസ്
la,ലാറ്റിൻ
lb,ലക്‌സംബർഗിഷ്
lg,ഗാണ്ട
li,ലിംബർഗിഷ്
ln,ലിംഗാല
lo,ലാവോ
lt,ലിത്വാനിയൻ
lu,ലുബ-കറ്റംഗ
lv,ലാറ്റ്വിയൻ
mg,മലഗാസി
mh,മാർഷല്ലീസ്
mi,മവോറി
mk,മാസിഡോണിയൻ
ml,മലയാളം
mn,മംഗോളിയൻ
mr,മറാത്തി
ms,മലെയ്
mt,മാൾട്ടീസ്
my,ബർമീസ്
na,നൗറു
nb,"നോർവീജിയൻ ബുക്‌മൽ"
nd,"നോർത്ത് ഡെബിൾ"
ne,നേപ്പാളി
ng,ഡോങ്ക
nl,ഡച്ച്
nn,"നോർവീജിയൻ നൈനോർക്‌സ്"
no,നോർവീജിയൻ
nr,"ദക്ഷിണ നെഡിബിൾ"
nv,നവാഹൊ
ny,ന്യൻജ
oc,ഓക്‌സിറ്റൻ
oj,ഓജിബ്വാ
om,ഒറോമോ
or,ഒഡിയ
os,ഒസ്സെറ്റിക്
pa,പഞ്ചാബി
pi,പാലി
pl,പോളിഷ്
ps,പുഷ്തോ
pt,പോർച്ചുഗീസ്
qu,ക്വെച്ചുവ
rm,റൊമാഞ്ച്
rn,റുണ്ടി
ro,റൊമാനിയൻ
ru,റഷ്യൻ
rw,കിന്യാർവാണ്ട
sa,സംസ്‌കൃതം
sc,സർഡിനിയാൻ
sd,സിന്ധി
se,"വടക്കൻ സമി"
sg,സാംഗോ
sh,സെർബോ-ക്രൊയേഷ്യൻ
si,സിംഹള
sk,സ്ലോവാക്
sl,സ്ലോവേനിയൻ
sm,സമോവൻ
sn,ഷോണ
so,സോമാലി
sq,അൽബേനിയൻ
sr,സെർബിയൻ
ss,സ്വാറ്റി
st,"തെക്കൻ സോതോ"
su,സുഡാനീസ്
sv,സ്വീഡിഷ്
sw,സ്വാഹിലി
ta,തമിഴ്
te,തെലുങ്ക്
tg,താജിക്
th,തായ്
ti,ടൈഗ്രിന്യ
tk,തുർക്‌മെൻ
tl,തഗാലോഗ്
tn,ത്സ്വാന
to,ടോംഗൻ
tr,ടർക്കിഷ്
ts,ത്സോംഗ
tt,ടാട്ടർ
tw,ട്വി
ty,താഹിതിയൻ
ug,ഉയ്ഗൂർ
uk,ഉക്രേനിയൻ
ur,ഉറുദു
uz,ഉസ്‌ബെക്ക്
ve,വെന്ദ
vi,വിയറ്റ്നാമീസ്
vo,വോളാപുക്
wa,വല്ലൂൺ
wo,വൊളോഫ്
xh,ഖോസ
yi,യിദ്ദിഷ്
yo,യൊറൂബാ
za,സ്വാംഗ്
zh,ചൈനീസ്
zu,സുലു
