iso,name
ab,абхаз
af,африк
ak,акан
am,амхар
ar,араб
as,ассам
az,азери
ba,башкир
be,беларусь
bg,болгар
bm,бамбара
bn,бенгал
bo,төвд
br,бретон
bs,босни
ca,каталан
co,корсик
cs,чех
cy,уэлс
da,дани
de,герман
de_AT,"австри герман"
de_CH,"швейцари дээр герман"
dz,жонха
ee,эвэ
el,грек
en,англи
en_AU,"австрали англи"
en_CA,"канад англи"
en_GB,"их британийн англи"
en_US,"америкийн нэгдсэн улсын англи"
eo,эсперанто
es,испани
es_ES,"европын испани"
es_MX,"мексикийн испани"
et,эстони
eu,баск
fa,перс
fi,финлянд
fj,фижи
fo,фарер
fr,франц
fr_CA,"канад франц"
fr_CH,"швейцари франц"
fy,"баруун фризын"
ga,ирланд
gd,"шотланд келт"
gl,галик
gn,гуарани
gu,гужарати
gv,манкс
ha,хауса
he,еврей
hi,хинди
hr,хорват
ht,гаити
hu,унгар
hy,армен
ia,интерлингво
id,индонези
ie,"нэгдмэл хэл"
ig,игбо
ii,"шичуан еи"
is,исланд
it,итали
iu,инуктитут
ja,япон
jv,ява
ka,гүрж
ki,кикуюү
kk,хасаг
kl,калалисут
km,камбож
kn,каннада
ko,солонгос
ks,кашмир
ku,күрд
kw,корны
ky,киргиз
la,латин
lb,люксембург
lg,ганда
ln,лингала
lo,лаос
lt,литва
lu,луба-катанга
lv,латви
mg,малагаси
mi,маори
mk,македон
ml,малайлам
mn,монгол
mr,марати
ms,малай
mt,малти
my,бирм
nb,"норвегийн букмол"
nd,"хойд ндебеле"
ne,балба
nl,голланд
nl_BE,фламанд
nn,"норвегийн нинорск"
no,норвеги
oc,"францын окситан"
om,оромо
or,ория
pa,панжаб
pl,польш
ps,пашто
pt,португал
pt_BR,"португал (бразил)"
pt_PT,"европын португал"
qu,кечуа
rm,романш
rn,рунди
ro,румын
ro_MD,молдав
ru,орос
rw,кинярванда
sa,санскрит
sd,синдхи
se,"хойд сами"
sg,санго
sh,"хорватын серб"
si,синхала
sk,словак
sl,словен
sn,шона
so,сомали
sq,албани
sr,серб
st,сесото
su,сундан
sv,швед
sw,свахили
ta,тамил
te,тэлүгү
tg,тажик
th,тай
ti,тигрина
tk,туркмен
to,тонга
tr,турк
tt,татар
tw,тви
ug,уйгар
uk,украйн
ur,урду
uz,узбек
vi,вьетнам
wo,волоф
xh,хоса
yi,иддиш
yo,ёруба
zh,хятад
zu,зулу
