iso,name
aa,अफार
ab,अबखेजियन
ae,अवेस्तन
af,अफ्रिकान्स
ak,अकान
am,अम्हारिक
an,अर्गोनीज
ar,अरबी
as,आसामी
av,अ‍ॅव्हेरिक
ay,ऐमरा
az,अझेरी
ba,बष्किर
be,बेलारुशियन
bg,बल्गेरियन
bi,बिस्लामा
bm,बाम्बारा
bn,बंगाली
bo,तिबेटी
br,ब्रेतॉन
bs,बोस्नियन
ca,कातालान
ce,चेचन
ch,कॅमोरो
co,कॉर्सिकन
cr,क्री
cs,झेक
cu,"चर्च स्लाव्हिक"
cv,चूवाश
cy,वेल्श
da,डॅनिश
de,जर्मन
de_AT,"ऑस्ट्रियन जर्मन"
de_CH,"स्विस हाय जर्मन"
dv,दिवेही
dz,झोंगखा
ee,एवे
el,ग्रीक
en,इंग्रजी
en_AU,"ऑस्ट्रेलियन इंग्रजी"
en_CA,"कॅनडियन इंग्रजी"
en_GB,"यू.के. इंग्रजी"
en_US,"यू.एस. इंग्रजी"
eo,एस्परान्टो
es,स्पॅनिश
es_ES,"युरोपियन स्पॅनिश"
es_MX,"मेक्सिकन स्पॅनिश"
et,इस्टोनियन
eu,बास्क
fa,फारसी
ff,फुलाह
fi,फिन्निश
fj,फिजियन
fo,फरोइज
fr,फ्रेंच
fr_CA,"कॅनडियन फ्रेंच"
fr_CH,"स्विस फ्रेंच"
fy,"पश्चिमी फ्रिशियन"
ga,आयरिश
gd,"स्कॉट्स गेलिक"
gl,गॅलिशियन
gn,गुआरनी
gu,गुजराती
gv,मांक्स
ha,हौसा
he,हिब्रू
hi,हिंदी
ho,"हिरी मॉटू"
hr,क्रोएशियन
ht,हैतीयन
hu,हंगेरियन
hy,आर्मेनियन
hz,हरेरो
ia,इंटरलिंग्वा
id,इंडोनेशियन
ie,इन्टरलिंग
ig,ईग्बो
ii,"सिचुआन यी"
ik,इनूपियाक
io,इडौ
is,आईसलँडिक
it,इटालियन
iu,इनुकिटुट्
ja,जपानी
jv,जावानीज
ka,जॉर्जियन
kg,काँगो
ki,किकुयू
kj,क्वान्यामा
kk,कझाक
kl,कलाल्लिसत
km,ख्मेर
kn,कन्नड
ko,कोरियन
kr,कनुरी
ks,काश्मीरी
ku,कुर्दिश
kv,कोमी
kw,कोर्निश
ky,किरगीझ
la,लॅटिन
lb,लक्झेंबर्गिश
lg,गांडा
li,लिंबूर्गिश
ln,लिंगाला
lo,लाओ
lt,लिथुआनियन
lu,ल्यूबा-कटांगा
lv,लात्व्हियन
mg,मलागसी
mh,मार्शलीज
mi,माओरी
mk,मॅसेडोनियन
ml,मल्याळम
mn,मंगोलियन
mr,मराठी
ms,मलय
mt,माल्टिज्
my,बर्मी
na,नउरू
nb,"नॉर्वेजियन बोकमाल"
nd,"उत्तर देबेली"
ne,नेपाळी
ng,डोंगा
nl,डच
nl_BE,फ्लेमिश
nn,"नॉर्वेजियन न्योर्स्क"
no,नोर्वेजियन
nr,"दक्षिणात्य देबेली"
nv,नावाजो
ny,न्यान्जा
oc,ऑक्सितान
oj,ओजिब्वा
om,ओरोमो
or,उडिया
os,ओस्सेटिक
pa,पंजाबी
pi,पाली
pl,पोलिश
ps,पुश्तो
pt,पोर्तुगीज
pt_BR,"ब्राझिलियन पोर्तुगीज"
pt_PT,"युरोपियन पोर्तुगीज"
qu,क्वेचुआ
rm,रोमान्श
rn,रुन्दी
ro,रोमानियन
ro_MD,मोल्डाव्हियन
ru,रशियन
rw,किन्यार्वान्डा
sa,संस्कृत
sc,सर्दिनियन
sd,सिंधी
se,"उत्तरी सामी"
sg,सांगो
sh,सर्बो-क्रोएशियन
si,सिंहला
sk,स्लोव्हाक
sl,स्लोव्हेनियन
sm,सामोअन
sn,शोना
so,सोमाली
sq,अल्बानियन
sr,सर्बियन
ss,स्वाती
st,सेसोथो
su,सुंदानीज
sv,स्वीडिश
sw,स्वाहिली
ta,तामिळ
te,तेलगू
tg,ताजिक
th,थाई
ti,तिग्रिन्या
tk,तुर्कमेन
tl,टागालोग
tn,त्स्वाना
to,टोंगन
tr,तुर्की
ts,सोंगा
tt,तातर
tw,ट्वी
ty,ताहितीयन
ug,उइगुर
uk,युक्रेनियन
ur,उर्दू
uz,उझ्बेक
ve,व्हेंदा
vi,व्हिएतनामी
vo,ओलापुक
wa,वालून
wo,वोलोफ
xh,खोसा
yi,यिद्दिश
yo,योरुबा
za,झुआंग
zh,चीनी
zu,झुलू
