iso,name
1,विश्व
2,आफ्रिका
3,"उत्तर अमेरिका"
5,"दक्षिण अमेरिका"
9,ओशनिया
11,"पश्चिम आफ्रिका"
13,"मध्य अमेरिका"
14,"पूर्व आफ्रिका"
15,"उत्तर आफ्रिका"
17,"मध्य आफ्रिका"
18,"दक्षिणी आफ्रिका"
19,अमेरिका
21,"उत्तरी अमेरिका"
29,कॅरीबियन
30,"पूर्व आशिया"
34,"दक्षिण आशिया"
35,"दक्षिण पूर्व आशिया"
39,"दक्षिण युरोप"
53,ऑस्‍ट्रेलेशिया
54,मेलानेशिया
57,"मायक्रोनेशियन प्रदेश"
61,पॉलिनेशिया
142,अशिया
143,"मध्य आशिया"
145,"पश्चिम आशिया"
150,युरोप
151,"पूर्व युरोप"
154,"उत्तर युरोप"
155,"पश्चिम युरोप"
419,"लॅटिन अमेरिका"
