iso,name
1,Dinja
2,Affrika
3,"Amerika ta’ Fuq"
5,"Amerika t’Isfel"
9,Oċejanja
11,"Affrika tal-Punent"
13,"Amerika Ċentrali"
14,"Affrika tal-Lvant"
15,"Affrika ta’ Fuq"
17,"Affrika Nofsani"
18,"Affrika t’Isfel"
19,Amerika
21,"Amerika Nòrdiku"
29,Karibew
30,"Asja tal-Lvant"
34,"Asja t’Isfel Ċentrali"
35,"Asja tax-Xlokk"
39,"Ewropa t’Isfel"
53,"Awstralja u New Zealand"
54,Melanesja
57,"Reġjun ta’ Mikroneżja"
61,Polinesja
142,Asja
143,"Asja Ċentrali"
145,"Asja tal-Punent"
150,Ewropa
151,"Ewropa tal-Lvant"
154,"Ewropa ta’ Fuq"
155,"Ewropa tal-Punent"
419,"Amerika Latina"
