iso,name
1,ကမ္ဘာ
2,အာဖရိက
3,"မြောက် အမေရိက"
5,"တောင် အမေရိက"
9,သမုဒ္ဒရာဒေသ
11,"အနောက် အာဖရိက"
13,"အလယ်ပိုင်း အမေရိက"
14,"အရှေ့ပိုင်း အာဖရိက"
15,"မြောက်ပိုင်း အာဖရိက"
17,"အလယ်ပိုင်း အာဖရိက"
18,"တောင်ပိုင်း အာဖရိက"
19,အမေရိကများ
21,"မြောက်ပိုင်း အမေရိက"
29,ကာရီဘီယံ
30,"အရှေ့ပိုင်း အာရှ"
34,"တောင်ပိုင်း အာရှ"
35,အရှေ့တောင်ပိုင်းအာရှ
39,"တောင်ပိုင်း ဥရောပ"
53,"ဩစတြေးလျနှင့် နယူးဇီလန်"
54,မီလာနီးရှား
57,မိုင်ခရိုနီရှားနယ်
61,ပိုလီနီရှား
142,အာရှ
143,"အလယ် အာရှ"
145,"အနောက် အာရှ"
150,ဥရောပ
151,"အရှေ့ပိုင်း ဥရောပ"
154,"မြောက်ပိုင်း ဥရောပ"
155,"အနောက်ပိုင်း ဥရောပ"
419,လက်တင်အမေရိက
