iso,name
1,विश्व
2,अफ्रिका
3,"उत्तर अमेरिका"
5,"दक्षिण अमेरिका"
9,ओसनिया
11,"पश्चिमी अफ्रिका"
13,"केन्द्रीय अमेरिका"
14,"पूर्वी अफ्रिका"
15,"उत्तरी अफ्रिका"
17,"मध्य अफ्रिका"
18,"दक्षिणी अफ्रिका"
19,अमेरिकास
21,"उत्तरी अमेरिका"
29,क्यारिबियन
30,"पूर्वी एशिया"
34,"दक्षिणी एशिया"
35,"दक्षिण पूर्वी एशिया"
39,"दक्षिणी युरोप"
53,अष्ट्रालासिया
54,मेलानेसिया
57,"माइक्रोनेसियाली क्षेत्र"
61,पोलिनेशिया
142,एशिया
143,"केन्द्रीय एशिया"
145,"पश्चिमी एशिया"
150,युरोप
151,"पूर्वी युरोप"
154,"उत्तरी युरोप"
155,"पश्चिमी युरोप"
419,"ल्याटिन अमेरिका"
