iso,name
ab,абхазаг
ae,авестӕ
af,африкаанс
ar,араббаг
av,авайраг
az,тӕтӕйраг
ba,башкираг
bg,болгайраг
bs,босниаг
ca,каталайнаг
ce,цӕцӕйнаг
cs,чехаг
cv,чувашаг
da,даниаг
de,немыцаг
de_AT,"австралиаг немыцаг"
de_CH,"швйецариаг немыцаг"
el,бердзейнаг
en,англисаг
en_AU,"австралиаг англисаг"
en_CA,"канадӕйаг англисаг"
en_GB,"бритайнаг англисаг"
en_US,"америкаг англисаг"
eo,есперанто
es,испайнаг
es_ES,"европӕйаг англисаг"
et,естойнаг
eu,баскаг
fa,персайнаг
fi,финнаг
fj,фиджи
fo,фарераг
fr,францаг
fr_CA,"канадӕйаг францаг"
fr_CH,"швейцариаг францаг"
ga,ирландиаг
he,уираг
hr,хорватаг
hu,венгериаг
hy,сомихаг
it,италиаг
ja,япойнаг
ka,гуырдзиаг
ku,курдаг
la,латинаг
mk,мӕчъидон
os,ирон
pt,португалиаг
pt_BR,"бразилиаг португалиаг"
pt_PT,"европӕйаг полтугалиаг"
ru,уырыссаг
zh,китайаг
