iso,name
ab,ਅਬਖਾਜ਼ੀਅਨ
af,ਅਫ਼ਰੀਕੀ
ak,ਅਕਾਨ
am,ਅਮਹਾਰਿਕ
ar,ਅਰਬੀ
as,ਅਸਾਮੀ
az,ਅਜ਼ੇਰੀ
ba,ਬਸ਼ਕੀਰ
be,ਬੇਲਾਰੂਸੀ
bg,ਬੁਲਗਾਰੀਆਈ
bm,ਬੰਬਾਰਾ
bn,ਬੰਗਾਲੀ
bo,ਤਿੱਬਤੀ
br,ਬਰੇਟਨ
bs,ਬੋਸਨੀਆਈ
ca,ਕੈਟਾਲਾਨ
ce,ਚੇਚਨ
co,ਕੋਰਸੀਕਨ
cs,ਚੈਕ
cy,ਵੈਲਜ਼
da,ਡੈਨਿਸ਼
de,ਜਰਮਨ
de_AT,"ਆਸਟਰੀਆਈ ਜਰਮਨ"
de_CH,"ਸਵਿਸ ਹਾਈ ਜਰਮਨ"
dz,ਜ਼ੋਂਗਖਾ
ee,ਈਵਈ
el,ਯੂਨਾਨੀ
en,ਅੰਗਰੇਜ਼ੀ
en_AU,"ਆਸਟ੍ਰੇਲੀਆਈ ਅੰਗਰੇਜ਼ੀ"
en_CA,"ਕੈਨੇਡੀਅਨ ਅੰਗਰੇਜ਼ੀ"
en_GB,"ਯੂ.ਕੇ. ਅੰਗਰੇਜ਼ੀ"
en_US,"ਯੂ.ਐਸ. ਅੰਗਰੇਜ਼ੀ"
eo,ਇਸਪੇਰਾਂਟੋ
es,ਸਪੇਨੀ
es_ES,"ਯੂਰਪੀ ਸਪੇਨੀ"
es_MX,"ਮੈਕਸੀਕਨ ਸਪੈਨਿਸ਼"
et,ਇਸਟੋਨੀਆਈ
eu,ਬਾਸਕ
fa,ਫ਼ਾਰਸੀ
fi,ਫਿਨਿਸ਼
fj,ਫ਼ਿਜ਼ੀ
fo,ਫ਼ੇਰੋਸੇ
fr,ਫਰਾਂਸੀਸੀ
fr_CA,"ਕੈਨੇਡੀਅਨ ਫਰਾਂਸੀਸੀ"
fr_CH,"ਸਵਿਸ ਫਰਾਂਸੀਸੀ"
fy,"ਪੱਛਮੀ ਫ੍ਰਿਸੀਅਨ"
ga,ਆਇਰੀ
gl,ਗੈਲਿਸ਼ਿਅਨ
gn,ਗੁਆਰਾਨੀ
gu,ਗੁਜਰਾਤੀ
gv,ਮੈਂਕਸ
ha,ਹੌਸਾ
he,ਹਿਬਰੂ
hi,ਹਿੰਦੀ
hr,ਕ੍ਰੋਏਸ਼ਿਆਈ
ht,ਹੈਤੀਆਈ
hu,ਹੰਗਰੀਆਈ
hy,ਅਰਮੀਨੀਆਈ
id,ਇੰਡੋਨੇਸ਼ੀਆਈ
ig,ਇਗਬੋ
ii,"ਸਿਚੁਆਨ ਯੀ"
is,ਆਈਸਲੈਂਡਿਕ
it,ਇਤਾਲਵੀ
iu,ਇੰਕਟੀਟੂਤ
ja,ਜਪਾਨੀ
jv,ਜਾਵਾਨੀਜ਼
ka,ਜਾਰਜੀਆਈ
ki,ਕਿਕੂਯੂ
kk,ਕਜ਼ਾਖ਼
kl,ਕਲਾਅੱਲੀਸੁਟ
km,ਖਮੇਰ
kn,ਕੰਨੜ
ko,ਕੋਰੀਆਈ
ks,ਕਸ਼ਮੀਰੀ
ku,ਕੁਰਦ
kw,ਕੋਰਨਿਸ਼
ky,ਕਿਰਗੀਜ਼
la,ਲਾਤੀਨੀ
lb,ਲਕਜ਼ਮਬਰਗਿਸ਼
lg,ਗਾਂਡਾ
ln,ਲਿੰਗਾਲਾ
lo,ਲਾਓ
lt,ਲਿਥੁਆਨੀਅਨ
lu,ਲੂਬਾ-ਕਾਟਾਂਗਾ
lv,ਲਾਟਵਿਅਨ
mg,ਮੇਲੇਗਸੀ
mi,ਮਾਉਰੀ
mk,ਮੈਕਡੋਨੀਆਈ
ml,ਮਲਿਆਲਮ
mn,ਮੰਗੋਲੀਅਨ
mr,ਮਰਾਠੀ
ms,ਮਲਯ
mt,ਮਾਲਟੀਜ਼
my,ਬਰਮੀ
nb,"ਨਾਰਵੇਜਿਆਈ ਬੋਕਮਲ"
nd,"ਉੱਤਰੀ ਨਡੇਬੇਲੇ"
ne,ਨੇਪਾਲੀ
nl,ਡੱਚ
nl_BE,ਫਲੈਮਿਸ਼
nn,"ਨਾਰਵੇਜਿਆਈ ਨਿਓਨੌਰਸਕ"
no,ਨਾਰਵੇਜੀਅਨ
om,ਓਰੋਮੋ
or,ਉੜੀਆ
pa,ਪੰਜਾਬੀ
pi,ਪਲੀ
pl,ਪੋਲੈਂਡੀ
ps,ਪਸ਼ਤੋ
pt,ਪੁਰਤਗਾਲੀ
pt_BR,"ਬ੍ਰਾਜ਼ੀਲੀਆਈ ਪੁਰਤਗਾਲੀ"
pt_PT,"ਯੂਰਪੀ ਪੁਰਤਗਾਲੀ"
qu,ਕਕੇਸ਼ੁਆ
rm,ਰੋਮਾਂਸ਼
rn,ਰੁੰਡੀ
ro,ਰੋਮਾਨੀਆਈ
ro_MD,ਮੋਲਡਾਵੀਆਈ
ru,ਰੂਸੀ
rw,ਕਿਨਿਆਰਵਾਂਡਾ
sa,ਸੰਸਕ੍ਰਿਤ
sd,ਸਿੰਧੀ
se,"ਉੱਤਰੀ ਸਾਮੀ"
sg,ਸਾਂਗੋ
si,ਸਿੰਹਾਲਾ
sk,ਸਲੋਵਾਕ
sl,ਸਲੋਵੇਨੀਆਈ
sn,ਸ਼ੋਨਾ
so,ਸੋਮਾਲੀ
sq,ਅਲਬਾਨੀਆਈ
sr,ਸਰਬੀਆਈ
su,ਸੂਡਾਨੀ
sv,ਸਵੀਡਿਸ਼
sw,ਸਵਾਹਿਲੀ
ta,ਤਮਿਲ
te,ਤੇਲਗੂ
tg,ਤਾਜਿਕ
th,ਥਾਈ
ti,ਤਿਗ੍ਰੀਨਿਆ
tk,ਤੁਰਕਮੇਨ
to,ਟੌਂਗਨ
tr,ਤੁਰਕੀ
tt,ਤਤਾਰ
tw,ਤ੍ਵਿ
ug,ਉਇਗੁਰ
uk,ਯੂਕਰੇਨੀਆਈ
ur,ਉਰਦੂ
uz,ਉਜ਼ਬੇਕ
vi,ਵੀਅਤਨਾਮੀ
wo,ਵੋਲੋਫ
xh,ਖੋਸਾ
yo,ਯੋਰੂਬਾ
zh,ਚੀਨੀ
zu,ਜ਼ੁਲੂ
