iso,name
1,świat
2,Afryka
3,"Ameryka Północna"
5,"Ameryka Południowa"
9,Oceania
11,"Afryka Zachodnia"
13,"Ameryka Środkowa"
14,"Afryka Wschodnia"
15,"Afryka Północna"
17,"Afryka Środkowa"
18,"Afryka Południowa"
19,Ameryka
21,"Ameryka Północna (USA, Kanada)"
29,Karaiby
30,"Azja Wschodnia"
34,"Azja Południowa"
35,"Azja Południowo-Wschodnia"
39,"Europa Południowa"
53,Australazja
54,Melanezja
57,"Region Mikronezji"
61,Polinezja
142,Azja
143,"Azja Środkowa"
145,"Azja Zachodnia"
150,Europa
151,"Europa Wschodnia"
154,"Europa Północna"
155,"Europa Zachodnia"
419,"Ameryka Łacińska"
