iso,name
1,Mundo
2,África
3,"América do Norte"
5,"América do Sul"
9,Oceânia
11,"África Ocidental"
13,"América Central"
14,"África Oriental"
15,"Norte de África"
17,"África Central"
18,"África Austral"
19,Américas
21,"América Setentrional"
29,Caraíbas
30,"Ásia Oriental"
34,"Ásia do Sul"
35,"Sudeste Asiático"
39,"Europa do Sul"
53,Australásia
54,Melanésia
57,"Região da Micronésia"
61,Polinésia
142,Ásia
143,"Ásia Central"
145,"Ásia Ocidental"
150,Europa
151,"Europa Oriental"
154,"Europa do Norte"
155,"Europa Ocidental"
419,"América Latina"
