iso,name
1,Lume
2,Africa
3,"America de Nord"
5,"America de Sud"
9,Oceania
11,"Africa Occidentală"
13,"America Centrală"
14,"Africa Orientală"
15,"Africa Septentrională"
17,"Africa Centrală"
18,"Africa Meridională"
19,Americi
21,"America Septentrională"
29,Caraibe
30,"Asia Orientală"
34,"Asia Meridională"
35,"Asia de Sud-Est"
39,"Europa Meridională"
53,Australasia
54,Melanezia
57,"Regiunea Micronezia"
61,Polinezia
142,Asia
143,"Asia Centrală"
145,"Asia Occidentală"
150,Europa
151,"Europa Orientală"
154,"Europa Septentrională"
155,"Europa Occidentală"
419,"America Latină"
