iso,name
1,Мир
2,Африка
3,"Северная Америка"
5,"Южная Америка"
9,Океания
11,"Западная Африка"
13,"Центральная Америка"
14,"Восточная Африка"
15,"Северная Африка"
17,"Центральная Африка"
18,"Южная Африка"
19,Америка
21,"Северная Америка – США и Канада"
29,Карибы
30,"Восточная Азия"
34,"Южная Азия"
35,"Юго-Восточная Азия"
39,"Южная Европа"
53,Австралазия
54,Меланезия
57,Микронезия
61,Полинезия
142,Азия
143,"Средняя Азия"
145,"Ближний и Средний Восток"
150,Европа
151,"Восточная Европа"
154,"Северная Европа"
155,"Западная Европа"
419,"Латинская Америка"
