iso,name
af,afrikánsagiella
an,aragoniagiella
ar,arábagiella
be,vilgesruoššagiella
bg,bulgáriagiella
bn,bengalagiella
bo,tibetagiella
br,bretonagiella
bs,bosniagiella
ca,katalánagiella
co,corsicagiella
cs,čeahkagiella
cy,kymragiella
da,dánskkagiella
de,duiskkagiella
dv,divehigiella
dz,dzongkhagiella
el,greikkagiella
en,eaŋgalsgiella
es,spánskkagiella
et,esttegiella
fa,persijagiella
fi,suomagiella
fj,fižigiella
fo,fearagiella
fr,fránskkagiella
fy,oarjifriisagiella
ga,iirragiella
gu,gujaratagiella
gv,manksgiella
ha,haussagiella
hi,hindigiella
hr,kroátiagiella
ht,haitigiella
hu,ungárgiella
hy,armenagiella
id,indonesiagiella
is,islánddagiella
it,itáliagiella
ja,japánagiella
jv,javagiella
ka,georgiagiella
kk,kazakhgiella
km,kambožagiella
ko,koreagiella
ku,kurdigiella
kv,komigiella
kw,kornagiella
la,láhtengiella
lb,luxemburggagiella
lo,laogiella
lt,liettuvagiella
lv,látviagiella
mi,maorigiella
mk,makedoniagiella
mn,mongoliagiella
mt,maltagiella
my,burmagiella
nb,girjedárogiella
ne,nepalagiella
nl,hollánddagiella
nn,ođđadárogiella
no,dárogiella
oc,oksitánagiella
pa,panjabagiella
pl,polskkagiella
pt,portugálagiella
rm,romanšgiella
ro,romániagiella
ru,ruoššagiella
sc,sardigiella
se,davvisámegiella
sh,serbokroatiagiella
sk,slovákiagiella
sl,slovenagiella
sm,samoagiella
sq,albánagiella
sr,serbiagiella
sv,ruoŧagiella
th,thaigiella
tr,durkagiella
ty,tahitigiella
uk,ukrainagiella
ur,urdugiella
vi,vietnamagiella
wa,vallonagiella
zh,kiinnágiella
de_AT,"nuortariikkalaš duiskkagiella"
de_CH,"šveicalaš duiskkagiella"
en_AU,"austrálialaš eaŋgalsgiella"
en_CA,"kanádalaš eaŋgalsgiella"
en_GB,"brihttalaš eaŋgalsgiella"
en_US,"amerihkálaš eaŋgalsgiella"
es_ES,"espánjalaš spánskkagiella"
es_MX,"meksikolaš spánskkagiella"
fr_CA,"kanádalaš fránskkagiella"
fr_CH,"šveicalaš fránskkagiella"
nl_BE,"belgialaš hollánddagiella"
pt_BR,"brasilialaš portugálagiella"
pt_PT,"portugálalaš portugálagiella"
ro_MD,"moldávialaš romániagiella"
