iso,name
af,afrikánsagiella
an,aragoniagiella
ar,arábagiella
be,vilges-ruoššagiella
bg,bulgáriagiella
bn,bengalgiella
bo,tibetagiella
br,bretonagiella
bs,bosniagiella
ca,katalánagiella
co,corsicagiella
cs,čeahkagiella
cy,kymragiella
da,dánskkagiella
de,duiskkagiella
dv,divehigiella
dz,dzongkhagiella
el,greikkagiella
en,eaŋgalsgiella
es,spánskkagiella
et,esttegiella
fa,persijagiella
fi,suomagiella
fj,fidjigiella
fo,fearagiella
fr,fránskkagiella
fy,oarjifriisagiella
ga,iirragiella
gu,gujaratagiella
gv,manksgiella
ha,haussagiella
hi,hindigiella
hr,kroátiagiella
ht,haitigiella
hu,ungárgiella
hy,armeenagiella
id,indonesiagiella
is,islánddagiella
it,itáliagiella
ja,japánagiella
jv,javagiella
ka,georgiagiella
kk,kazakgiella
km,kambodiagiella
ko,koreagiella
ku,kurdigiella
kv,komigiella
kw,kornagiella
la,láhtengiella
lb,luxemburggagiella
lo,laogiella
lt,liettuvagiella
lv,látviagiella
mi,maorigiella
mk,makedoniagiella
mn,mongoliagiella
mt,maltagiella
my,burmagiella
nb,girjedárogiella
ne,nepaligiella
nl,hollánddagiella
nn,ođđadárogiella
no,dárogiella
oc,oksitánagiella
pa,panjabigiella
pl,polskkagiella
pt,portugálagiella
rm,romanšgiella
ro,romániagiella
ru,ruoššagiella
sc,sardigiella
se,davvisámegiella
sh,serbokroatiagiella
sk,slovákiagiella
sl,slovenagiella
sm,samoagiella
sq,albánagiella
sr,serbiagiella
sv,ruoŧagiella
th,ŧaigiella
tr,durkagiella
ty,tahitigiella
uk,ukrainagiella
ur,urdugiella
vi,vietnamgiella
wa,vallonagiella
zh,kiinnágiella
