iso,name
ab,ඇබ්කාසියානු
af,අප්‍රිකානු
ak,අකාන්
am,ඇම්හාරික්
ar,අරාබි
as,ඇසමියානු
az,අසීරී
ba,බාෂ්කිර්
be,බෙලරුසියානු
bg,බල්ගේරියානු
bm,බම්බරා
bn,බෙංගාලි
bo,ටිබෙට්
br,බ්‍රේටොන්
bs,බොස්නියානු
ca,කැටලන්
co,ක්‍රොඑශියානු
cs,චෙත්
cy,වේල්ස්
da,ඩැනිශ්
de,ජර්මන්
de_AT,"ඔස්ට්‍රියානු ජර්මන්"
de_CH,"ස්විස් උසස් ජර්මන්"
dv,දිවෙහි
dz,ඩිසොන්කා
ee,ඉව්
el,ග්‍රීක
en,ඉංග්‍රීසි
en_AU,"ඕස්ට්‍රේලියානු ඉංග්‍රීසි"
en_CA,"කැනේඩියානු ඉංග්‍රීසි"
en_GB,"එ.රා ඉංග්‍රීසි"
en_US,"එ.ජ ඉංග්‍රීසි"
eo,එස්පැරන්ටෝ
es,ස්පාඤ්ඤ
es_ES,"යුරෝපීය ස්පාඤ්ඤ"
es_MX,"මෙක්සිකානු ස්පාඤ්ඤ"
et,එස්තෝනියානු
eu,බොස්කෝ
fa,පර්සියානු
fi,ෆින්ලන්ත
fj,ෆීජි
fo,ෆාරෝස්
fr,ප්‍රංශ
fr_CA,"කැනේඩියානු ප්‍රංශ"
fr_CH,"ස්විස් ප්‍රංශ"
fy,"බටහිර ෆ්‍රිසියානු"
ga,අයර්ලන්ත
gl,ගැලීසියානු
gn,ගුවාරනි
gu,ගුජරාටි
gv,මැන්ක්ස්
ha,හෝසා
he,හීබෲ
hi,හින්දි
hr,ක්‍රෝයේශියානු
ht,හයිටි
hu,හන්ගේරියානු
hy,ආර්මේනියානු
id,ඉන්දුනීසියානු
ig,ඉග්බෝ
ii,"සිචුආන් යී"
is,අයිස්ලන්ත
it,ඉතාලි
iu,ඉනුක්ටිටුට්
ja,ජපන්
jv,ජාවා
ka,ජෝර්ජියානු
ki,කිකුයු
kk,කසාඛ්
kl,කලාලිසට්
km,කමර්
kn,කණ්ණඩ
ko,කොරියානු
ks,කාෂ්මීර්
ku,කුර්දි
kw,කෝනීසියානු
ky,කිර්ගිස්
la,ලතින්
lb,ලක්සැම්බර්ග්
lg,ගන්ඩා
ln,ලින්ගලා
lo,ලාඕ
lt,ලිතුවේනියානු
lu,ලු
lv,ලැට්වියානු
mg,මලගාසි
mi,මාවොරි
mk,මැසිඩෝනියානු
ml,මලයාලම්
mn,මොංගෝලියානු
mr,මරාති
ms,මැලේ
mt,මොල්ටිස්
my,බුරුම
nb,"නෝවේජියානු බොක්මාල්"
nd,"උතුරු එන්ඩිබෙලෙ"
ne,නේපාල
nl,ලන්දේසි
nl_BE,ෆ්ලෙමිශ්
nn,"නොවේර්ජියානු නයිනෝර්ස්ක්"
om,ඔරොමෝ
or,ඔරියා
pa,ජන්ජාබි
pl,පෝලන්ත
ps,පෂ්ටො
pt,පෘතුගීසි
pt_BR,"බ්‍රසීල පෘතුගීසි"
pt_PT,"යුරෝපීය පෘතුගීසි"
qu,ක්වීචුවා
rm,රොමෑන්ශ්
rn,රුන්ඩි
ro,රොමේනියානු
ru,රුසියානු
rw,කින්යර්වන්ඩා
sa,සංස්කෘත
sd,සින්ධි
se,"උතුරු සාමි"
sg,සන්ග්‍රෝ
si,සිංහල
sk,ස්ලෝවැක්
sl,ස්ලෝවේනියානු
sn,ශෝනා
so,සෝමාලි
sq,ඇල්බේනියානු
sr,සර්බියානු
su,සන්ඩනීසියානු
sv,ස්වීඩන්
sw,ස්වාහිලි
ta,දෙමළ
te,තෙළිඟු
tg,ටජික්
th,තායි
ti,ටිග්‍රින්යා
tk,ටර්ක්මෙන්
to,ටොංගා
tr,තුර්කි
tt,ටාටර්
ug,උයිගර්
uk,යුක්රේනියානු
ur,උර්දු
uz,උස්බෙක්
vi,වියට්නාම්
wo,වොලොෆ්
xh,ශෝසා
yo,යොරූබා
zh,චීන
zu,සුලු
