iso,name
aa,afarščina
ab,abhaščina
ae,avestijščina
af,afrikanščina
ak,akanščina
am,amharščina
an,aragonščina
ar,arabščina
as,asamščina
av,avarščina
ay,ajmarščina
az,azerščina
ba,baškirščina
be,beloruščina
bg,bolgarščina
bi,bislamščina
bm,bambarščina
bn,bengalščina
bo,tibetanščina
br,bretonščina
bs,bosanščina
ca,katalonščina
ce,čečenščina
ch,čamorščina
co,korziščina
cr,krijščina
cs,češčina
cu,"stara cerkvena slovanščina"
cv,čuvaščina
cy,valižanščina
da,danščina
de,nemščina
de_AT,"avstrijska nemščina"
de_CH,"visoka nemščina (Švica)"
dv,diveščina
dz,dzonka
ee,evenščina
el,grščina
en,angleščina
en_AU,"avstralska angleščina"
en_CA,"kanadska angleščina"
en_GB,"angleščina (ZK)"
en_US,"angleščina (ZDA)"
eo,esperanto
es,španščina
es_ES,"iberska španščina"
et,estonščina
eu,baskovščina
fa,perzijščina
ff,fulščina
fi,finščina
fj,fidžijščina
fo,ferščina
fr,francoščina
fr_CA,"kanadska francoščina"
fr_CH,"švicarska francoščina"
fy,frizijščina
ga,irščina
gd,"škotska gelščina"
gl,galicijščina
gn,gvaranijščina
gu,gudžaratščina
gv,manščina
ha,havščina
he,hebrejščina
hi,hindujščina
ho,"hiri motu"
hr,hrvaščina
ht,"haitijska kreolščina"
hu,madžarščina
hy,armenščina
hz,herero
ia,interlingva
id,indonezijščina
ie,interlingve
ig,igboščina
ii,"sečuanska jiščina"
ik,inupiaščina
io,ido
is,islandščina
it,italijanščina
iu,inuktitutščina
ja,japonščina
jv,javanščina
ka,gruzinščina
kg,kongovščina
ki,kikujščina
kj,kvanjama
kk,kazaščina
kl,grenlandščina
km,kmerščina
kn,kanada
ko,korejščina
kr,kanurščina
ks,kašmirščina
ku,kurdščina
kv,komijščina
kw,kornijščina
ky,kirgiščina
la,latinščina
lb,luksemburščina
lg,ganda
li,limburščina
ln,lingala
lo,laoščina
lt,litovščina
lu,luba-katanga
lv,latvijščina
mg,malagaščina
mh,marshallovščina
mi,maorščina
mk,makedonščina
ml,malajalamščina
mn,mongolščina
mr,maratščina
ms,malajščina
mt,malteščina
my,burmanščina
na,naurujščina
nb,"knjižna norveščina"
nd,"severna ndebelščina"
ne,nepalščina
nl,nizozemščina
nl_BE,flamščina
nn,novonorveščina
no,norveščina
nr,"južna ndebelščina"
nv,navajščina
ny,njanščina
oc,okcitanščina
oj,anašinabščina
om,oromo
or,orijščina
os,osetinščina
pa,pandžabščina
pi,palijščina
pl,poljščina
ps,paštunščina
pt,portugalščina
pt_BR,"brazilska portugalščina"
pt_PT,"iberska portugalščina"
qu,kečuanščina
rm,retoromanščina
rn,rundščina
ro,romunščina
ro_MD,moldavščina
ru,ruščina
rw,ruandščina
sa,sanskrt
sc,sardinščina
sd,sindščina
se,"severna samijščina"
sg,sango
sh,srbohrvaščina
si,singalščina
sk,slovaščina
sl,slovenščina
sm,samoanščina
sn,šonščina
so,somalščina
sq,albanščina
sr,srbščina
ss,svazijščina
st,sesoto
su,sundanščina
sv,švedščina
sw,svahili
ta,tamilščina
te,telugijščina
tg,tadžiščina
th,tajščina
ti,tigrajščina
tk,turkmenščina
tl,tagalogščina
tn,cvanščina
to,tongščina
tr,turščina
ts,tsonga
tt,tatarščina
tw,tvi
ty,tahitščina
ug,ujgurščina
uk,ukrajinščina
ur,urdujščina
uz,uzbeščina
ve,venda
vi,vietnamščina
vo,volapuk
wa,valonščina
wo,volofščina
xh,xhosa
yi,jidiš
yo,jorubščina
zh,kitajščina
zu,zulujščina
