iso,name
1,ప్రపంచం
2,ఆఫ్రికా
3,"ఉత్తర అమెరికా"
5,"దక్షిణ అమెరికా"
9,ఒషీనియ
11,"పశ్చిమ ఆఫ్రికా భూభాగం"
13,"మధ్యమ అమెరికా"
14,"తూర్పు ఆఫ్రికా"
15,"ఉత్తర ఆఫ్రికా"
17,"మధ్యమ ఆఫ్రికా"
18,"దక్షిణ ఆఫ్రికా భూభాగం"
19,అమెరికాలు
21,"ఉత్తర అమెరికా భూభాగం"
29,కరిబ్బియన్
30,"తూర్పు ఆసియా"
34,"దక్షిణ ఆసియా"
35,"నైరుతి ఆసియా"
39,"దక్షిణ యూరోప్"
53,ఆస్ట్రేలేసియా
54,మెలనేశియ
57,"మైక్రోనేశియ ప్రాంతం"
61,పాలినేషియా
142,ఆసియా
143,"మధ్య ఆసియా"
145,"పడమటి ఆసియా"
150,యూరోప్
151,"తూర్పు యూరోప్"
154,"ఉత్తర యూరోప్"
155,"పశ్చిమ యూరోప్"
419,"లాటిన్ అమెరికా"
