iso,name
1,دۇنيا
2,ئافرىقا
3,"شىمالىي ئامېرىكا"
5,"جەنۇبىي ئامېرىكا"
9,ئوكيانىيە
11,"غەربىي ئافرىقا"
13,"ئوتتۇرا ئامېرىكا"
14,"شەرقىي ئافرىقا"
15,"شىمالىي ئافرىقا"
17,"ئوتتۇرا ئافرىقا"
18,"جەنۇبىي ئافرىقا رايونى"
19,ئامېرىكا
21,"شىمالىي ئامېرىكا رايونى"
29,"كارىب دېڭىزى"
30,"شەرقىي ئاسىيا"
34,"جەنۇبىي ئاسىيا"
35,"شەرقىي جەنۇبىي ئاسىيا"
39,"جەنۇبىي ياۋروپا"
53,ئاۋسترالئاسىيا
54,مېلانېسىيە
57,"مىكرونېزىيە رايونى"
61,پولىنىزىيە
142,ئاسىيا
143,"ئوتتۇرا ئاسىيا"
145,"غەربىي ئاسىيا"
150,ياۋروپا
151,"شەرقىي ياۋروپا"
154,"شىمالىي ياۋروپا"
155,"غەربىي ياۋروپا"
419,"لاتىن ئامېرىكا"
