iso,name
ab,ابقازیان
af,افریقی
ak,اکان
am,امہاری
ar,عربی
as,آسامی
ay,ایمارا
az,ازیری
ba,باشکیر
be,بیلاروسی
bg,بلغاری
bm,بمبارا
bn,بنگالی
bo,تبتی
br,بریٹن
bs,بوسنی
ca,کیٹالان
co,کارسیکائی
cs,چیک
cy,ویلش
da,ڈینش
de,جرمن
dv,ڈیویہی
dz,ژونگکھا
ee,ایو
el,یونانی
en,انگریزی
eo,ایسپرانٹو
es,ہسپانوی
et,اسٹونین
eu,باسکی
fa,فارسی
fi,فینیش
fj,فجی
fo,فیروئیز
fr,فرانسیسی
fy,"مغربی فریسیئن"
ga,آئیرِش
gd,"سکاٹ گیلِک"
gl,گالیشیائی
gn,گُارانی
gu,گجراتی
gv,مینکس
ha,ہؤسا
he,عبرانی
hi,ہندی
hr,کراتی
ht,ہیتی
hu,ہنگیرین
hy,ارمینی
ia,"بین لسانیات"
id,انڈونیثیائی
ig,اِگبو
ii,"سچوان ای"
is,"آئس لینڈک"
it,اطالوی
iu,اینُکٹیٹٹ
ja,جاپانی
jv,جاوی
ka,جارجی
kg,کانگو
ki,کیکویو
kk,قزاخ
kl,كالاليست
km,خمیر
kn,کنڑ
ko,کوریائی
ks,کشمیری
ku,کرد
kw,کورنش
ky,کرغیزی
la,لاطینی
lb,لگژمبرگش
lg,گینڈا
ln,لِنگَلا
lo,لاؤ
lt,لتھُواینین
lu,لبا-كاتانجا
lv,لٹويای
mg,ملاگاسی
mi,ماؤری
mk,مقدونیائی
ml,مالایالم
mn,منگؤلی
mr,مراٹهی
ms,مالائی
mt,مالٹی
my,برمی
nb,"نارویجین بوکمل"
nd,"شمالی دبیل"
ne,نیپالی
nl,ڈچ
nn,"نورویجینی نینورسک"
no,نارویجین
ny,نیانجا
oc,آكسیٹان
om,اورومو
or,اورِیا
os,اوسیٹک
pa,پنجابی
pl,پولستانی
ps,پشتو
pt,پُرتگالی
qu,کویچوآ
rm,رومانش
rn,رونڈی
ro,رومینین
ru,روسی
rw,کینیاروانڈا
sa,سَنسکرِت
sd,سندھی
se,"شمالی سامی"
sg,سانجو
sh,سربو-کروئیشین
si,سنہالا
sk,سلوواک
sl,سلووینیائی
sm,ساموآن
sn,شونا
so,صومالی
sq,البانی
sr,صربی
ss,سواتی
st,"جنوبی سوتھو"
su,سنڈانیز
sv,سویڈش
sw,سواحلی
ta,تمل
te,تیلگو
tg,تاجک
th,تھائی
ti,ٹگرینیا
tk,ترکمان
tl,"ٹیگا لوگ"
tn,سوانا
to,ٹونگن
tr,ترکی
ts,زونگا
tt,تاتار
tw,توی
ty,تاہیتی
ug,یوئگہر
uk,یوکرینیائی
ur,اردو
uz,ازبیک
ve,وینڈا
vi,ویتنامی
wo,وولوف
xh,ژوسا
yi,یدش
yo,یوروبا
zh,چینی
zu,زولو
