iso,name
0,دنیا
1,افریقہ
2,"شمالی امریکہ"
3,"جنوبی امریکہ"
4,اوشیانیا
5,"مغربی افریقہ"
6,"وسطی امریکہ"
7,"مشرقی افریقہ"
8,"شمالی افریقہ"
9,"وسطی افریقہ"
10,"جنوبی افریقہ کے علاقہ"
11,امیریکاز
12,"شمالی امریکہ کا علاقہ"
13,کریبیائی
14,"مشرقی ایشیا"
15,"جنوبی ایشیا"
16,"جنوب مشرقی ایشیا"
17,"جنوبی یورپ"
18,آسٹریلیشیا
19,مالینیشیا
20,"مائکرونیشیائی علاقہ"
21,پولینیشیا
22,ایشیا
23,"وسطی ایشیا"
24,"مغربی ایشیا"
25,یورپ
26,"مشرقی یورپ"
27,"شمالی یورپ"
28,"مغربی یورپ"
29,"لاطینی امریکہ"
AC,"اسینشن آئلینڈ"
AD,انڈورا
AE,"متحدہ عرب امارات"
AF,افغانستان
AG,"انٹیگوا اور باربودا"
AI,انگوئیلا
AL,البانیہ
AM,آرمینیا
AN,"نیدرلینڈز انٹیلیز"
AO,انگولا
AQ,انٹارکٹیکا
AR,ارجنٹینا
AS,"امریکی ساموآ"
AT,آسٹریا
AU,آسٹریلیا
AW,اروبا
AX,"آلینڈ آئلینڈز"
AZ,آذربائجان
BA,"بوسنیا اور ہرزیگووینا"
BB,بارباڈوس
BD,"بنگلہ دیش"
BE,بیلجیم
BF,"برکینا فاسو"
BG,بلغاریہ
BH,بحرین
BI,برونڈی
BJ,بینن
BL,"سینٹ برتھلیمی"
BM,برمودا
BN,برونئی
BO,بولیویا
BQ,"کریبیائی نیدرلینڈز"
BR,برازیل
BS,بہاماس
BT,بھوٹان
BV,"بؤویٹ آئلینڈ"
BW,بوتسوانا
BY,بیلاروس
BZ,بیلائز
CA,کینیڈا
CC,"کوکوس (کیلنگ) جزائر"
CD,"کانگو (DRC)"
CF,"وسط افریقی جمہوریہ"
CG,"کانگو (جمہوریہ)"
CH,"سوئٹزر لینڈ"
CI,"آئیوری کوسٹ"
CK,"کک آئلینڈز"
CL,چلی
CM,کیمرون
CN,چین
CO,کولمبیا
CP,"کلپرٹن آئلینڈ"
CR,"کوسٹا ریکا"
CU,کیوبا
CV,"کیپ ورڈی"
CW,کیوراکاؤ
CX,"کرسمس آئلینڈ"
CY,قبرص
CZ,"چیک جمہوریہ"
DE,جرمنی
DG,"ڈائجو گارسیا"
DJ,جبوتی
DK,ڈنمارک
DM,ڈومنیکا
DO,"ڈومنیکن جمہوریہ"
DZ,الجیریا
EA,"سیئوٹا اور میلیلا"
EC,ایکواڈور
EE,اسٹونیا
EG,مصر
EH,"مغربی صحارا"
ER,اریٹیریا
ES,ہسپانیہ
ET,ایتھوپیا
EU,"یوروپی یونین"
FI,"فن لینڈ"
FJ,فجی
FK,"فاکلینڈ جزائر (مالویناس)"
FM,مائکرونیشیا
FO,"فیرو آئلینڈز"
FR,فرانس
GA,گیبون
GB,"یو کے"
GD,گریناڈا
GE,جارجیا
GF,"فرینچ گیانا"
GG,گوئرنسی
GH,گھانا
GI,"جبل الطارق"
GL,"گرین لینڈ"
GM,گامبیا
GN,گنی
GP,گواڈیلوپ
GQ,"استوائی گیانا"
GR,یونان
GS,"جنوبی جارجیا اور جنوبی سینڈوچ جزائر"
GT,"گواٹے مالا"
GU,گوآم
GW,"گنی بساؤ"
GY,گیانا
HK,"ہانگ کانگ"
HM,"ہیئرڈ آئلینڈ اور میکڈونالڈ آئلینڈز"
HN,ہونڈاروس
HR,کروشیا
HT,ہیتی
HU,ہنگری
IC,"کینری آئلینڈز"
ID,انڈونیشیا
IE,آئرلینڈ
IL,اسرائیل
IM,"آئل آف مین"
IN,بھارت
IO,"برطانوی ہندوستانی سمندری خطہ"
IQ,عراق
IR,ایران
IS,"آئس لینڈ"
IT,اٹلی
JE,جرسی
JM,جمائیکا
JO,اردن
JP,جاپان
KE,کینیا
KG,کرغزستان
KH,کمبوڈیا
KI,کریباتی
KM,کوموروس
KN,"سینٹ کٹس اور نیویس"
KP,"شمالی کوریا"
KR,"جنوبی کوریا"
KW,کویت
KY,"کیمین آئلینڈز"
KZ,قزاخستان
LA,لاؤس
LB,لبنان
LC,"سینٹ لوسیا"
LI,لیشٹنسٹائن
LK,"سری لنکا"
LR,لائبیریا
LS,لیسوتھو
LT,لتھوانیا
LU,لگژمبرگ
LV,لٹویا
LY,لیبیا
MA,مراقش
MC,موناکو
MD,مالدووا
ME,"مونٹے نیگرو"
MF,"سینٹ مارٹن"
MG,مڈغاسکر
MH,"مارشل آئلینڈز"
MK,"مقدونیہ (FYROM)"
ML,مالی
MM,"میانمار (برما)"
MN,منگولیا
MO,مکاؤ
MP,"شمالی ماریانا آئلینڈز"
MQ,مارٹینک
MR,موریطانیہ
MS,مونٹسیراٹ
MT,مالٹا
MU,ماریشس
MV,مالدیپ
MW,ملاوی
MX,میکسیکو
MY,ملیشیا
MZ,موزمبیق
NA,نامیبیا
NC,"نیو کلیڈونیا"
NE,نائجر
NF,"نارفوک آئلینڈ"
NG,نائجیریا
NI,نکاراگووا
NL,"نیدر لینڈز"
NO,ناروے
NP,نیپال
NR,نؤرو
NU,نیئو
NZ,"نیوزی ینڈ"
OM,عمان
PA,پنامہ
PE,پیرو
PF,"فرانسیسی پولینیشیا"
PG,"پاپوآ نیو گنی"
PH,فلپائنی
PK,پاکستان
PL,پولینڈ
PM,"سینٹ پیئر اور میکلیئون"
PN,"پٹکائرن جزائر"
PR,"پیورٹو ریکو"
PS,فلسطین
PT,پرتگال
PW,پلاؤ
PY,پیراگوئے
QA,قطر
QO,"بیرونی اوشیانیا"
RE,"ری یونین"
RO,رومانیا
RS,سربیا
RU,روس
RW,روانڈا
SA,"سعودی عرب"
SB,"سولومن آئلینڈز"
SC,سشلیز
SD,سوڈان
SE,سویڈن
SG,سنگاپور
SH,"سینٹ ہیلینا"
SI,سلووینیا
SJ,"سوالبرڈ اور جان ماین"
SK,سلوواکیہ
SL,"سیئر لیون"
SM,"سان مارینو"
SN,سینیگل
SO,صومالیہ
SR,سورینام
SS,"جنوبی سوڈان"
