iso,name
ab,abxazcha
af,afrikancha
ak,akancha
am,amxarcha
ar,arabcha
as,assamcha
az,ozarbayjoncha
ba,boshqircha
be,belaruscha
bg,bolgarcha
bm,bambarcha
bn,bengalcha
bo,tibetcha
br,bretoncha
bs,bosniycha
ca,katalancha
co,korsiancha
cs,chexcha
cy,uelscha
da,datcha
de,nemischa
de_AT,"Avstriya olmonchasi"
de_CH,"Shvesariya olmonchasi"
dz,yovoncha
ee,ivicha
el,yunoncha
en,inglizcha
en_AU,"Avstraliya inglizchasi"
en_CA,"Kanada inglizchasi"
en_GB,"Britaniya inglizchasi"
en_US,"inglizcha (AQSH)"
eo,esperantocha
es,ispancha
es_ES,"Yevropa ispanchasi"
es_MX,"Meksika ispanchasi"
et,estoncha
eu,baskcha
fa,forscha
fi,fincha
fj,fijcha
fo,farercha
fr,fransuzcha
fr_CA,"Kanada fransuzchasi"
fr_CH,"Shvesariya fransuzchasi"
fy,"gʻarbiy friziancha"
ga,irlandcha
gl,galitsiycha
gn,gorancha
gu,gujoratcha
gv,mencha
ha,xauscha
he,ibroniy
hi,hindcha
hr,xorvatcha
ht,gaitcha
hu,vengrcha
hy,armancha
id,indoneyzcha
ig,igbocha
ii,"zichuan yicha"
is,islandcha
it,italyancha
iu,inuktitutcha
ja,yaponcha
jv,yavancha
ka,gruzincha
ki,kikuycha
kk,qozoqcha
kl,kalallisutcha
km,xmercha
kn,kannadcha
ko,koreyscha
ks,kashmircha
ku,kurdcha
kw,kornishcha
ky,qirgʻizcha
la,lotincha
lb,lyuksemburgcha
lg,gandcha
ln,lingalcha
lo,laoscha
lt,litovcha
lu,luba-katangcha
lv,latishcha
mg,malagasiycha
mi,maoriycha
mk,makedoncha
ml,malayamcha
mn,mo‘g‘ulcha
mr,maratcha
ms,malaycha
mt,maltacha
my,birmancha
nb,"norvegcha bokmal"
nd,"shimoliy ndebelcha"
ne,nepalcha
nl,gollandcha
nl_BE,flamandcha
nn,"norvegcha ninorsk"
om,oromocha
or,oriycha
pa,panjobcha
pl,polyakcha
ps,"pushtu tili"
pt,portugalcha
pt_BR,"Braziliya portugalchasi"
pt_PT,"Yevropa portugalchasi"
qu,qvechuancha
rm,romancha
rn,rundcha
ro,rumincha
ro_MD,"moldovan rumincha"
ru,ruscha
rw,kinyarvandcha
sa,sanskritcha
sd,sindxiycha
se,"shimoliy semiycha"
sg,sangoancha
si,sinholcha
sk,slovakcha
sl,slovencha
sn,shoniycha
so,somalicha
sq,albancha
sr,serbcha
su,sundancha
sv,shvedcha
sw,svahilcha
ta,tamilcha
te,telugvancha
tg,tojikcha
th,taycha
ti,tigrincha
tk,turkmancha
to,tongocha
tr,turkcha
tt,tatarcha
ug,uygʻurcha
uk,ukraincha
ur,urducha
uz,oʻzbekcha
vi,vyetnamcha
wo,volofcha
xh,xosancha
yo,yorubcha
zh,xitoycha
zu,zuluancha
