iso,name
1,Dunyo
2,Afrika
3,Shimoli-Amerika
5,"Janubiy Amerika"
9,Okeaniya
11,"Gʻarbiy Afrika"
13,"Markaziy Amerika"
14,"Sharqiy Afrika"
15,"Shimoliy Afrika"
17,"Markaziy Afrika"
18,"Janubiy Afrika"
19,Amerika
21,"Shimoliy Amerika"
29,"Karib havzasi"
30,"Sharqiy Osiyo"
34,"Janubiy Osiyo"
35,"Janubiy-Sharqiy Osiyo"
39,"Janubiy Yevropa"
53,Avstralaziya
54,Melaneziya
57,"Mikroneziya mintaqasi"
61,Polineziya
142,Osiyo
143,"Markaziy Osiyo"
145,"Gʻarbiy Osiyo"
150,Yevropa
151,"Sharqiy Yevropa"
154,"Shimoliy Yevropa"
155,"Gʻarbiy Yevropa"
419,"Lotin Amerikasi"
