iso,name
ab,isi-Abkhazian
af,isi-Afrikaans
ak,isi-Akan
am,isi-Amharic
ar,isi-Arabic
as,isi-Assamese
ay,isi-Aymara
az,isi-Azeria
ba,isi-Bashkir
be,isi-Belarusian
bg,isi-Bulgari
bm,isi-Bambara
bn,isi-Bengali
bo,isi-Tibetan
br,Isi-Breton
bs,isi-Bosnian
ca,isi-Catalan
co,isi-Corsican
cs,isi-Czech
cy,isi-Welsh
da,isi-Danish
de,isi-German
dv,isi-Divehi
dz,isi-Dzongkha
ee,Isi-Ewe
el,isi-Greek
en,i-English
eo,isi-Esperanto
es,isi-Spanish
et,isi-Estonia
eu,isi-Basque
fa,isi-Persian
fi,isi-Finnish
fj,isi-Fijian
fo,isi-Faroese
fr,isi-French
fy,"isi-Western Frisian"
ga,isi-Irish
gd,"i-Scottish Gaelic"
gl,isi-Galicia
gn,isi-Guarani
gu,isi-Gujarati
gv,isi-Manx
ha,isi-Hausa
he,isi-Hebrew
hi,isi-Hindi
hr,isi-Croatian
ht,isi-Haitian
hu,isi-Hungarian
hy,isi-Armenia
ia,"Izilimi ezihlangene"
id,isi-Indonesian
ie,Izilimu
ig,isi-Igbo
ii,"isi-Sichuan Yi"
is,isi-Icelandic
it,isi-Italian
iu,isi-Inuktitut
ja,isi-Japanese
jv,isi-Javanese
ka,isi-Georgian
kg,Isi-Kongo
ki,isi-Kikuyu
kk,isi-Kazakh
kl,isi-Kalaallisut
km,isi-Khmer
kn,isi-Kannada
ko,isi-Korean
ks,isi-Kashmiri
ku,isi-Kurdish
kw,isi-Cornish
ky,isi-Kyrgyz
la,isi-Latin
lb,isi-Luxembourgish
lg,Isi-Ganda
ln,isi-Lingala
lo,i-Lao
lt,isi-Lithuanian
lu,isi-Luba-Katanga
lv,isi-Latvian
mg,isi-Malagasy
mi,isi-Maori
mk,isi-Macedonian
ml,isi-Malayalam
mn,isi-Mongolian
mr,isi-Marathi
ms,isi-Malay
mt,isi-Maltese
my,isi-Burmese
nb,"isi-Norwegian Bokmål"
nd,"isi-North Ndebele"
ne,isi-Nepali
nl,isi-Dutch
nn,"i-Norwegian Nynorsk"
no,IsiNoweyi
ny,isi-Nyanja
oc,Isi-Osithani
om,Isi-Oromo
or,isi-Oriya
os,isi-Ossetic
pa,isi-Punjabi
pl,isi-Polish
ps,isi-Pushto
pt,isi-Portuguese
qu,isi-Quechua
rm,isi-Romansh
rn,isi-Rundi
ro,isi-Romanian
ru,isi-Russian
rw,isi-Kinyarwanda
sa,isi-Sanskrit
sd,isi-Sindhi
se,"isi-Northern Sami"
sg,isi-Sango
sh,Serbo-Croatian
si,i-Sinhala
sk,isi-Slovak
sl,isi-Slovenian
sm,isi-Samoan
sn,isi-Shona
so,isi-Somali
sq,isi-Albania
sr,isi-Serbian
ss,isiSwati
st,isiSuthu
su,isi-Sundanese
sv,isi-Swedish
sw,isi-Swahili
ta,isi-Tamil
te,isi-Telugu
tg,isi-Tajik
th,isi-Thai
ti,isi-Tigrinya
tk,isi-Turkmen
tn,isi-Tswana
to,Isi-Tongan
tr,isi-Turkish
ts,isi-Tsonga
tt,isi-Tatar
tw,Twi
ty,isi-Tahitian
ug,isi-Uighur
uk,isi-Ukrainian
ur,isi-Urdu
uz,isi-Uzbek
ve,isi-Venda
vi,isi-Vietnamese
wo,isi-Wolof
xh,isiXhosa
yi,Isi-Yidish
yo,isi-Yoruba
zh,isi-Chinese
zu,isiZulu
